sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh600721,百花医药,📉跌停/博弈修复,0.0,-9.97,0.86,-9.97,11.02,9.87,,0,0,0,600721
sz301363,美好医疗,3板/🔥20cm,0.0,20.01,21.44,20.01,41.56,89.0,,0,0,0,301363
sz300986,志特新材,3板/🔥20cm,0.0,20.0,19.9,8.32,19.32,89.97,,0,0,0,300986
sz300940,南极光,首板/🔥20cm,0.0,14.3,15.13,0.27,33.5,1.98,,0,0,0,300940
sh603156,养元饮品,首板/炸板/反包预期,0.0,8.78,1.96,0.28,31.09,18.8,,0,0,0,603156
sh688019,安集科技,首板/🔥20cm,0.0,18.86,5.14,3.04,278.39,31.38,,0,0,0,688019
sh688125,安达智能,1板/🔥20cm,0.0,20.0,2.84,1.02,170.08,78.11,,0,0,0,688125
sh688052,纳芯微,首板,0.0,11.08,4.95,1.49,183.87,22.88,,0,0,0,688052
sz300753,爱朋医疗,📉跌停/博弈修复,0.0,-11.11,44.91,-3.43,35.52,32.29,,0,0,0,300753
sz002009,天奇股份,F佬/天奇股份(机器人/表现不佳/不如五洲万向) # 复盘：新开仓但评价不高，感觉做坏了,0.0,3.92,30.48,0.05,21.73,36.75,sz002931,0,0,0,002009
sh603601,再升科技,F佬/再升科技(博弈出狱/早了点/高位横盘) # 复盘：新开仓，博弈出狱，感觉买早了,0.0,-3.1,18.88,-5.17,13.11,20.28,,0,0,0,603601
sz301256,华融化学,1板/🔥20cm,0.0,20.03,6.83,3.95,17.32,16.63,,0,0,0,301256
sz001208,华菱线缆,首板/炸板/反包预期,0.0,6.69,49.69,-4.21,25.83,22.82,,0,0,0,001208
sh603269,海鸥股份,首板/炸板/反包预期,0.0,8.12,17.03,1.64,13.85,11.51,,0,0,0,603269
sh688123,聚辰股份,首板,0.0,10.22,13.9,13.14,151.0,20.95,,0,0,0,688123
sz300919,中伟股份,首板,0.0,11.97,5.33,3.94,57.15,37.61,,0,0,0,300919
sz301073,君亭酒店,首板,0.0,10.77,11.22,0.39,28.49,2.85,,0,0,0,301073
sz301330,熵基科技,📉跌停/博弈修复,0.0,-9.81,31.26,-7.23,42.92,48.31,,0,0,0,301330
sh603916,苏博特,首板/炸板/反包预期,0.0,4.98,7.64,0.0,10.32,7.5,,0,0,0,603916
sz001259,利仁科技,首板/炸板/反包预期,0.0,-1.5,8.73,0.41,28.92,-2.49,,0,0,0,001259
sz300655,晶瑞电材,首板,0.0,9.85,22.23,4.75,19.19,10.35,,0,0,0,300655
sh603568,伟明环保,首板/炸板/反包预期,0.0,3.31,1.06,1.65,26.22,5.47,,0,0,0,603568
sh603516,淳中科技,1板,0.0,10.0,3.9,0.15,252.62,23.79,,0,0,0,603516
sh605303,园林股份,1板,0.0,9.99,5.63,1.52,19.48,7.15,,0,0,0,605303
sz002173,创新医疗,F佬/创新医疗(脑机龙头/暂时没动/等分歧) # 复盘：暂时没到参与时候，等分歧日/3板,0.0,9.99,2.44,9.99,28.63,32.73,,0,0,0,002173
sh603683,晶华新材,首板/炸板/反包预期,0.0,5.62,7.47,0.67,26.86,-3.03,,0,0,0,603683
sh688020,方邦股份,首板,0.0,12.57,8.22,0.0,82.48,18.57,,0,0,0,688020
sz301213,观想科技,1板/🔥20cm,0.0,20.0,3.51,20.0,82.86,22.47,,0,0,0,301213
sh688068,热景生物,首板,0.0,11.62,3.66,-0.29,192.54,14.6,,0,0,0,688068
sh603726,朗迪集团,首板/炸板/反包预期,0.0,6.99,11.74,1.28,25.09,13.94,,0,0,0,603726
sh603356,华菱精工,1板,0.0,9.99,5.77,0.0,15.64,8.91,,0,0,0,603356
sz002151,北斗星通,F佬/北斗星通(卫星/低位叠加/没做T有点蠢) # 复盘：自我检讨没做T/首板/炸板/反包预期,0.0,4.97,33.31,6.97,57.7,58.39,,0,0,0,002151
sz301021,英诺激光,首板,0.0,12.31,12.55,-0.02,54.37,24.76,,0,0,0,301021
sh603667,五洲新春,持仓/五洲新春,0.0,-2.44,22.09,-3.25,75.6,49.26,,0,0,0,603667
sz000905,厦门港务,1板,0.0,10.02,9.58,1.16,14.17,5.51,,0,0,0,000905
sz300745,欣锐科技,首板,0.0,13.28,14.94,-0.37,30.8,23.89,,0,0,0,300745
sh605288,凯迪股份,1板,0.0,10.0,2.81,-0.83,96.49,17.73,,0,0,0,605288
sh688031,星环科技-U,首板,0.0,11.37,17.78,13.27,140.68,46.73,,0,0,0,688031
