sina_code,name,tag,amount,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz000657,中钨高新,💰大战场,3534000000.0000005,7.67,7.88,0.94,32.0,7.96,,0,0,0,000657
sh688498,源杰科技,💰大战场,3367000000.0,8.47,5.84,2.94,700.7,9.66,,0,0,0,688498
sh600276,恒瑞医药,💰大战场,3364000000.0,1.25,0.82,-0.08,63.85,4.79,,0,0,0,600276
sh600183,生益科技,💰大战场,3294000000.0,0.49,1.91,-1.44,72.4,10.42,,0,0,0,600183
sz002865,钧达股份,首板/炸板/反包预期/💰大战场,3290999999.9999995,7.47,24.41,-1.67,62.3,25.86,,0,0,0,002865
sh600410,华胜天成,💰大战场,3274000000.0,1.63,15.89,-0.27,18.75,9.71,,0,0,0,600410
sh600855,航天长峰,航天/💰大战场,3271000000.0,3.1,27.01,0.0,26.24,40.62,,0,0,0,600855
sz002549,凯美特气,💰大战场,3263000000.0000005,4.04,20.28,1.97,23.2,6.37,,0,0,0,002549
sh600893,航发动力,💰大战场,3242000000.0,3.05,2.87,-0.85,42.61,10.36,,0,0,0,600893
sz300236,上海新阳,首板/💰大战场,3239000000.0,9.9,15.27,3.5,77.96,17.41,,0,0,0,300236
sz002405,四维图新,💰大战场,3213000000.0000005,2.87,13.1,0.69,10.38,15.08,,0,0,0,002405
sz002281,光迅科技,💰大战场,3174000000.0,2.45,5.68,1.63,71.18,1.34,,0,0,0,002281
sz000333,美的集团,💰大战场,3174000000.0,0.67,0.59,0.19,79.37,0.27,,0,0,0,000333
sz300260,新莱应材,💰大战场,3168000000.0,5.86,18.01,1.89,61.59,12.02,,0,0,0,300260
sz002335,科华数据,💰大战场,3167000000.0,5.17,11.61,-0.53,61.27,14.42,,0,0,0,002335
sh600021,上海电力,💰大战场,3077000000.0,4.33,5.04,-0.1,21.69,10.21,,0,0,0,600021
sz300576,容大感光,💰大战场,3009000000.0,9.75,29.3,5.89,44.57,9.37,,0,0,0,300576
sz002945,华林证券,首板/炸板/反包预期/💰大战场,2994000000.0,5.38,5.76,5.66,18.8,31.01,,0,0,0,002945
