sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh688256,寒武纪-U,★人气/成交/💰大战场,21583000000.0,3.52,3.57,1.01,1444.0,🟢 Safe,-,-,,8.08,,0,0,0,688256
sz002195,岩山科技,F佬/岩山科技(脑机/AIGC/AI)/★人气/成交/4板/机器人/💰大战场,18993000000.0,9.96,34.0,2.44,10.38,🟢 Safe,-,-,,54.69,,0,0,0,002195
sz002202,金风科技,F佬/金风科技(风电/商业航天/核电)/🐉龙虎榜/💰消闲派(2.6亿)/💰中山东路(3.6亿)/💰作手新一(4.2亿)/💰知春路(540万)/💰养家(3.6亿)/💰北向(3.3亿)/🏃知春路(2.1亿)/🏃养家(699万)/🏃作手新一(1.9亿)/🏃机构(3.3亿)/🏃北向(4.4亿)/🏃中山东路(699万)/🏃消闲派(377万)/★人气/成交/3板/💰大战场,16760000000.0,10.0,18.14,-1.52,29.04,🟢 Safe,-,-,,70.32,,0,0,0,002202
sh600118,中国卫星,★人气/成交/卫星/💰大战场,14847000000.0,1.77,12.33,-1.23,102.0,🟢 Safe,-,-,,69.69,,0,0,0,600118
sz002475,立讯精密,★人气/成交/💰大战场,13265000000.0,-4.15,3.3,-0.92,55.16,🟢 Safe,-,-,,-4.98,,0,0,0,002475
sh601698,中国卫通,★人气/成交/1板/💰大战场,13197999999.999998,1.5,7.13,-3.26,44.53,高危,86.22%,次日 +7.25%,10日偏离值100%,89.41,,0,0,0,601698
sh601318,中国平安,★人气/成交/💰大战场,11970000000.0,-4.18,1.58,-0.11,70.38,🟢 Safe,-,-,,1.28,,0,0,0,601318
sz002050,三花智控,★人气/成交/💰大战场,11740000000.0,-2.48,5.8,-0.81,54.37,🟢 Safe,-,-,,21.15,,0,0,0,002050
sz002131,利欧股份,持仓/利欧股份/🐉龙虎榜/💰养家(2.0亿)/💰六一中路(9120万)/💰拉萨天团(5746万)/💰北向(3.1亿)/💰机构(1.1亿)/💰中山东路(2.0亿)/🏃拉萨天团(1.5亿)/🏃机构(241万)/🏃北向(1.1亿)/🏃六一中路(37万)/🏃养家(44万)/🏃中山东路(44万)/★人气/成交/1板/💰大战场,11603000000.0,2.88,29.09,1.52,6.78,🟢 Safe,-,-,,33.2,,0,0,0,002131
sz002413,雷科防务,🐉龙虎榜/💰消闲派(1.6亿)/💰北向(7.1亿)/💰六一中路(540万)/💰机构(3.1亿)/🏃消闲派(3523万)/🏃六一中路(8311万)/🏃北向(4.5亿)/🏃机构(6707万)/★人气/成交/💰大战场,11309000000.0,5.86,51.15,-1.86,17.69,高危,89.49%,次日 +5.41%,10日偏离值100%,105.22,,0,0,0,002413
sz002465,海格通信,F佬/海格通信(商业航天/脑机)/★人气/成交/💰大战场,10495000000.0,4.42,21.69,-0.77,20.31,🟢 Safe,-,-,,55.28,,0,0,0,002465
sz300750,宁德时代,★人气/成交/💰大战场,9962000000.0,-0.49,0.63,-0.81,369.21,🟢 Safe,-,-,,-2.35,,0,0,0,300750
sh603019,中科曙光,★人气/成交/💰大战场,9324000000.0,4.33,6.81,0.4,93.0,🟢 Safe,-,-,,6.09,,0,0,0,603019
