sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sh688256,寒武纪-U,★人气/成交/💰大战场,21583000000.0,3.52,3.57,1.01,1444.0,🟢 Safe,-,-,,8.08,,0,0,0,688256
sz002195,岩山科技,🐉龙虎榜/★人气/成交/4板/机器人/AI/💰大战场,18993000000.0,9.96,34.0,2.44,10.38,🟢 Safe,-,-,,54.69,,0,0,0,002195
sz002202,金风科技,🐉龙虎榜/★人气/成交/3板/航天/💰大战场,16760000000.0,10.0,18.14,-1.52,29.04,🟢 Safe,-,-,,70.32,,0,0,0,002202
sh600118,中国卫星,★人气/成交/卫星/💰大战场,14847000000.0,1.77,12.33,-1.23,102.0,🟢 Safe,-,-,,69.69,,0,0,0,600118
sz002475,立讯精密,★人气/成交/💰大战场,13265000000.0,-4.15,3.3,-0.92,55.16,🟢 Safe,-,-,,-4.98,,0,0,0,002475
sh601698,中国卫通,★人气/成交/💰大战场,13197999999.999998,1.5,7.13,-3.26,44.53,🟢 Safe,-,-,,89.41,,0,0,0,601698
sh601318,中国平安,★人气/成交/💰大战场,11970000000.0,-4.18,1.58,-0.11,70.38,🟢 Safe,-,-,,1.28,,0,0,0,601318
sz002050,三花智控,★人气/成交/💰大战场,11740000000.0,-2.48,5.8,-0.81,54.37,🟢 Safe,-,-,,21.15,,0,0,0,002050
sz002131,利欧股份,持仓/利欧股份/★人气/成交/💰大战场,11603000000.0,2.88,29.09,1.52,6.78,🟢 Safe,-,-,,33.2,,0,0,0,002131
sz002413,雷科防务,F佬/雷科防务(军工/中位辨识度/没动) # 复盘：归类为中位辨识度二波趋势，锁仓没动/🐉龙虎榜/🏃陈小群离场/★人气/成交/💰大战场,11309000000.0,5.86,51.15,-1.86,17.69,高危,93.4%,次日 +3.34%,10日偏离值100%,105.22,,0,0,0,002413
sz002465,海格通信,F佬/海格通信(全能叠加/量化做T/脑机+航天) # 复盘：新开仓，底仓做T，希望量化看得上/★人气/成交/💰大战场,10495000000.0,4.42,21.69,-0.77,20.31,🟢 Safe,-,-,,55.28,,0,0,0,002465
sz300750,宁德时代,★人气/成交/💰大战场,9962000000.0,-0.49,0.63,-0.81,369.21,🟢 Safe,-,-,,-2.35,,0,0,0,300750
sh603019,中科曙光,★人气/成交/💰大战场,9324000000.0,4.33,6.81,0.4,93.0,🟢 Safe,-,-,,6.09,,0,0,0,603019
sh600030,中信证券,★人气/成交/💰大战场,9040000000.0,-3.25,2.59,-0.71,28.54,🟢 Safe,-,-,,-0.31,,0,0,0,600030
sh601899,紫金矿业,★人气/成交/💰大战场,8780000000.0,-1.14,1.17,-1.42,36.3,🟢 Safe,-,-,,13.12,,0,0,0,601899
sh600111,北方稀土,★人气/成交/💰大战场,7870999999.999999,-3.54,4.45,-1.45,48.71,🟢 Safe,-,-,,7.15,,0,0,0,600111
sz002151,北斗星通,F佬/北斗星通(卫星/低位叠加/没做T有点蠢) # 复盘：自我检讨没做T/🐉龙虎榜/★人气/成交/🔥焚诀/💰大战场,7869000000.0,3.45,30.91,-3.15,59.69,🟢 Safe,-,-,,73.27,,0,0,0,002151
sh600498,烽火通信,★人气/成交/💰大战场,7692000000.0,2.18,16.34,-1.99,37.5,🟢 Safe,-,-,,36.86,,0,0,0,600498
sh600435,北方导航,★人气/成交/💰大战场,6880000000.0,6.31,22.48,0.91,21.07,🟢 Safe,-,-,,50.07,,0,0,0,600435
sz002565,顺灏股份,🐉龙虎榜/★人气/成交/1板/航天/💰大战场,6609999999.999999,10.02,29.68,3.8,21.41,高危,185.28%,次日 +5.00%,30日偏离值200%,51.52,,0,0,0,002565
sz002600,领益智造,★人气/成交/💰大战场,6573999999.999999,1.61,5.56,0.0,16.43,🟢 Safe,-,-,,5.86,,0,0,0,002600
sh600105,永鼎股份,★人气/成交/💰大战场,6509000000.0,2.6,16.12,0.04,28.0,🟢 Safe,-,-,,31.95,,0,0,0,600105
sz301293,三博脑科,🐉龙虎榜/★人气/成交/💰大战场,5687000000.0,5.39,36.91,0.0,98.88,安全,72.02%,次日 +15.94%,10日偏离值100%,79.33,,0,0,0,301293
sh600151,航天机电,★人气/成交/航天/💰大战场,5600000000.0,7.11,19.51,-1.79,20.35,🟢 Safe,-,-,,26.71,,0,0,0,600151
sz002340,格林美,★人气/成交/💰大战场,5536000000.0,-5.89,12.2,-2.89,8.78,🟢 Safe,-,-,,11.42,,0,0,0,002340
sz002759,天际股份,★人气/成交/💰大战场,5446000000.0,-2.6,22.73,0.73,46.9,🟢 Safe,-,-,,22.49,,0,0,0,002759
sh600089,特变电工,★人气/成交/💰大战场,5397000000.0,-0.58,4.42,0.37,24.05,🟢 Safe,-,-,,4.61,,0,0,0,600089
sh600150,中国船舶,★人气/成交/💰大战场,5383000000.0,4.09,2.01,0.0,35.88,🟢 Safe,-,-,,7.81,,0,0,0,600150
sh601888,中国中免,F佬/中国中免(免税中军/防守) # 复盘未提及，维持原判/★人气/成交/💰大战场,5357000000.0,-0.49,2.92,-1.02,92.95,🟢 Safe,-,-,,4.54,,0,0,0,601888
sh601600,中国铝业,★人气/成交/💰大战场,5181000000.0,-2.85,2.86,-2.49,13.65,🟢 Safe,-,-,,24.43,,0,0,0,601600
sz002463,沪电股份,★人气/成交/💰大战场,5118000000.0,-3.11,3.7,-0.48,71.23,🟢 Safe,-,-,,-0.27,,0,0,0,002463
sz300762,上海瀚讯,★人气/成交/💰大战场,5077000000.0,6.55,18.9,-2.5,44.26,🟢 Safe,-,-,,33.47,,0,0,0,300762
sz002371,北方华创,★人气/成交/💰大战场,4958000000.0,-1.7,1.34,0.0,506.67,🟢 Safe,-,-,,5.24,,0,0,0,002371
sz300751,迈为股份,★人气/成交/首板/🔥20cm/💰大战场,4792000000.0,15.65,12.53,-2.17,212.8,🟢 Safe,-,-,,32.72,,0,0,0,300751
sz002361,神剑股份,🐉龙虎榜/★人气/成交/1板/航天/💰大战场,4764000000.0,9.99,38.64,-1.11,15.85,🟢 Safe,-,-,,60.26,,0,0,0,002361
sh601727,上海电气,★人气/成交/💰大战场,4672000000.0,2.76,3.97,-0.44,9.32,🟢 Safe,-,-,,10.95,,0,0,0,601727
sh600036,招商银行,★人气/成交/💰大战场,4643000000.0,-1.35,0.54,0.12,41.58,🟢 Safe,-,-,,-0.79,,0,0,0,600036
sz301308,江波龙,★人气/成交/💰大战场,4536000000.0,-3.09,5.74,-1.0,283.9,🟢 Safe,-,-,,17.0,,0,0,0,301308
sz002837,英维克,★人气/成交/💰大战场,4519000000.0,-2.81,5.19,0.0,101.56,🟢 Safe,-,-,,-2.2,,0,0,0,002837
sh600343,航天动力,★人气/成交/航天/💰大战场,4446000000.0,4.48,14.93,-0.95,47.33,🟢 Safe,-,-,,24.55,,0,0,0,600343
sz301171,易点天下,★人气/成交/💰大战场,4420000000.0,5.88,26.94,-1.13,43.91,🟢 Safe,-,-,,30.22,,0,0,0,301171
sz002149,西部材料,★人气/成交/💰大战场,4389000000.0,3.2,18.46,-1.8,49.4,高危,190.48%,次日 +3.20%,30日偏离值200%,27.58,,0,0,0,002149
