sina_code,name,tag,amount,today_pct,turnover,open_pct,price,risk_level,risk_msg,trigger_next,risk_rule,pct_10,link_dragon,vol,vol_prev,vol_ratio,code
sz002565,顺灏股份,★人气/成交/💰大战场,6266000000.0,5.53,31.35,-3.74,19.46,🟢 Safe,-,-,,23.95,,0,0,0,002565
sh600089,特变电工,★人气/成交/💰大战场,6257000000.0,2.8,5.12,0.76,24.19,🟢 Safe,-,-,,7.7,,0,0,0,600089
sz300433,蓝思科技,★人气/成交/💰大战场,6214000000.0,0.24,3.7,1.09,34.01,🟢 Safe,-,-,,17.76,,0,0,0,300433
sz300394,天孚通信,★人气/成交/💰大战场,6120000000.0,0.21,3.89,1.61,202.18,🟢 Safe,-,-,,-9.34,,0,0,0,300394
sz300450,先导智能,★人气/成交/💰大战场,5585000000.0,0.16,6.46,0.02,55.09,🟢 Safe,-,-,,14.37,,0,0,0,300450
sz000725,京东方Ａ,★人气/成交/💰大战场,5581000000.0,-3.11,3.48,-1.11,4.36,🟢 Safe,-,-,,7.92,,0,0,0,000725
sz002594,比亚迪,★人气/成交/💰大战场,5503000000.0,-2.39,1.61,-0.03,97.6,🟢 Safe,-,-,,3.42,,0,0,0,002594
sz002792,通宇通讯,★人气/成交/1板/低空/航天/卫星/💰大战场,5496000000.0,10.01,32.34,-0.76,52.1,🟢 Safe,-,-,,47.38,,0,0,0,002792
sz002639,雪人集团,★人气/成交/1板/💰大战场,5207000000.0,10.02,38.0,-1.15,21.96,🟢 Safe,-,-,,13.02,,0,0,0,002639
sz000063,中兴通讯,★人气/成交/💰大战场,5178000000.0,-0.89,3.3,0.25,38.92,🟢 Safe,-,-,,4.15,,0,0,0,000063
sz300442,润泽科技,★人气/成交/💰大战场,5070000000.0,5.12,5.23,0.92,60.58,🟢 Safe,-,-,,20.8,,0,0,0,300442
sz002471,中超控股,F佬/中超控股(核聚变/没做T/有点蠢) # 复盘：自我检讨没做T/★人气/成交/💰大战场,4880000000.0,1.84,43.5,0.0,8.3,🟢 Safe,-,-,,51.46,,0,0,0,002471
sz002407,多氟多,★人气/成交/💰大战场,4857000000.0,-4.01,13.19,-2.02,33.71,🟢 Safe,-,-,,14.08,,0,0,0,002407
sz000100,TCL科技,★人气/成交/💰大战场,4854000000.0,-4.46,5.64,-1.22,4.71,🟢 Safe,-,-,,4.9,,0,0,0,000100
sz002703,浙江世宝,★人气/成交/首板/炸板/反包预期/💰大战场,4831000000.0,3.92,32.22,10.02,24.9,🟢 Safe,-,-,,34.67,,0,0,0,002703
sz300548,长芯博创,★人气/成交/💰大战场,4793000000.0,6.57,12.67,1.37,142.98,🟢 Safe,-,-,,-8.91,,0,0,0,300548
sh600362,江西铜业,★人气/成交/💰大战场,4624000000.0,-2.97,4.02,-2.58,55.28,🟢 Safe,-,-,,29.83,,0,0,0,600362
sz300456,赛微电子,★人气/成交/💰大战场,4597000000.0,3.1,14.36,-0.32,54.82,🟢 Safe,-,-,,-9.31,,0,0,0,300456
sh600151,航天机电,★人气/成交/航天/💰大战场,4496000000.0,-3.6,16.34,-4.52,19.0,🟢 Safe,-,-,,6.5,,0,0,0,600151
sz300395,菲利华,★人气/成交/💰大战场,4439000000.0,-2.72,9.05,-3.75,97.85,🟢 Safe,-,-,,0.63,,0,0,0,300395
sz002230,科大讯飞,★人气/成交/💰大战场,4416000000.0,-1.61,3.78,0.04,53.02,🟢 Safe,-,-,,8.09,,0,0,0,002230
sz002463,沪电股份,★人气/成交/💰大战场,4397000000.0,-0.24,3.11,-0.66,73.52,🟢 Safe,-,-,,2.98,,0,0,0,002463
sz002466,天齐锂业,★人气/成交/💰大战场,4283000000.0,-0.07,4.91,0.88,59.24,🟢 Safe,-,-,,9.87,,0,0,0,002466
sz002920,德赛西威,★人气/成交/💰大战场,4269000000.0,0.13,5.51,1.89,137.57,🟢 Safe,-,-,,8.75,,0,0,0,002920
sz000792,盐湖股份,★人气/成交/💰大战场,4240000000.0,-0.56,2.48,-0.06,32.19,🟢 Safe,-,-,,14.27,,0,0,0,000792
sz002460,赣锋锂业,★人气/成交/💰大战场,4238000000.0000005,-0.63,5.26,0.15,66.48,🟢 Safe,-,-,,1.85,,0,0,0,002460
sh600519,贵州茅台,★人气/成交/💰大战场,4234000000.0000005,-0.33,0.24,0.34,1423.36,🟢 Safe,-,-,,1.07,,0,0,0,600519
sh603019,中科曙光,★人气/成交/💰大战场,4197000000.0,-0.37,3.21,0.03,89.14,🟢 Safe,-,-,,1.96,,0,0,0,603019
sz000426,兴业银锡,★人气/成交/💰大战场,4194000000.0,4.59,5.56,1.76,42.14,🟢 Safe,-,-,,16.6,,0,0,0,000426
sh688521,芯原股份,★人气/成交/💰大战场,4185000000.0,2.31,5.26,2.82,152.24,🟢 Safe,-,-,,18.11,,0,0,0,688521
sz002361,神剑股份,★人气/成交/💰大战场,4175000000.0,-0.35,35.52,-4.15,14.41,🟢 Safe,-,-,,60.29,,0,0,0,002361
sz002384,东山精密,★人气/成交/💰大战场,4072000000.0,-1.09,3.64,0.63,80.6,🟢 Safe,-,-,,-1.49,,0,0,0,002384
sz300418,昆仑万维,★人气/成交/💰大战场,4060000000.0,-1.23,7.21,-0.6,44.34,🟢 Safe,-,-,,10.79,,0,0,0,300418
