代码		    名称		涨幅		现价		涨跌		换手		振幅		涨速		总金额		总市值		流通市值		总手		利好		利空		主力净量		市盈(动)		TTM市盈率		市净率		现手		开盘		昨收		最高		最低		买价		卖价		买量		卖量		委比%		量比		金叉个数		手/笔		外盘		内盘		上市日期		
SH000001	上证指数	+1.09%		4165.29		+44.86		1.77%		1.18%		+0.01%		1446230100000	68017016000000	63794940000000	83945609000	无		无		0.00		17.80		0		1.57		335457000--	4134.89		4120.43		4168.36		4119.88		--		--		--		--		+5.77		1.24		0		1100		42773384000	41172225000	--
SZ399001	深证成指	+1.75%		14366.91	+246.76		4.79%		2.14%		+0.02%		2155220000000	46365341000000	40220802000000	115306357000	无		无		0.00		37.92		0		2.87		1175510000--	14186.86	14120.15	14391.28	14089.59	--		--		--		--		+15.53		1.25		0		966		58762814000	56543543000	--
899050		北证50		+5.35%		1605.77		+81.51		18.73%		4.90%		+0.00%		43520999000	960703040000	586732470000	1704566300	无		无		0.00		72.67		0		5.07		22287500--	1541.36		1524.26		1613.00		1538.33		--		--		--		--		--		1.71		0		--		--		--		--
SZ399006	创业板指	+1.82%		3388.34		+60.53		8.15%		3.48%		+0.03%		1096218820000	19273518000000	15606167000000	42107354000	无		无		0.00		69.82		0		6.15		426978000--	3323.64		3327.81		3398.05		3282.39		--		--		--		--		+0.31		1.43		0		821		21691890000	20415464000	--
SH000688	科创50		+2.43%		1511.84		+35.87		2.33%		2.46%		-0.00%		106640242000	4544945200000	4336219200000	1567591900	无		无		0.00		133.0		0		5.84		5508800--	1490.50		1475.97		1515.11		1478.85		--		--		--		--		+10.57		1.28		0		746		760717510	806874390	--
SH000300	沪深300		+0.65%		4789.92		+31.00		0.90%		1.23%		+0.01%		799954080000	--		--		29483317000	无		无		0.00		0		0		0		58828000--	4769.65		4758.92		4795.93		4737.57		--		--		--		--		--		1.15		0		--		--		--		--
SH000016	上证50		+0.30%		3143.74		+9.42		0.39%		0.73%		+0.01%		189801900000	--		--		6446191300	无		无		0.00		0		0		0		17177100--	3146.51		3134.32		3148.11		3125.17		--		--		--		--		--		1.16		0		--		--		--		--
SH000905	中证500		+2.39%		8249.13		+192.44		3.00%		1.96%		+0.04%		685824120000	--		--		33523629000	无		无		0.00		0		0		0		55384000--	8141.63		8056.69		8261.35		8103.24		--		--		--		--		--		1.14		0		--		--		--		--
SH000852	中证1000	+2.80%		8357.01		+227.83		4.50%		2.47%		+0.02%		827564720000	--		--		44722895000	无		无		0.00		0		0		0		79979000--	8196.09		8129.18		8371.75		8171.11		--		--		--		--		--		1.35		0		--		--		--		--
SZ399303	国证2000	+2.92%		10985.02	+311.41		5.26%		2.50%		+0.02%		1224348360000	--		--		67816207000	无		无		0.00		0		0		0		184745000--	10758.06	10673.61	11000.31	10733.63	--		--		--		--		--		1.32		0		--		--		--		--
