代码		    名称		涨幅		现价		涨跌		换手		振幅		涨速		总金额		总市值		流通市值		总手		利好		利空		主力净量		市盈(动)		TTM市盈率		市净率		现手		开盘		昨收		最高		最低		买价		卖价		买量		卖量		委比%		量比		金叉个数		手/笔		外盘		内盘		上市日期		
SH000001	上证指数	-0.64%		4138.76		-26.53		1.83%		1.28%		+0.03%		1481574200000	67590151000000	63410534000000	86838272000	无		无		0.00		17.69		0		1.56		126863000--	4169.70		4165.29		4179.70		4126.23		--		--		--		--		-8.16		1.20		0		1073		41010599000	45827673000	--
SZ399001	深证成指	-1.37%		14169.40	-197.51		4.97%		2.41%		+0.02%		2169490600000	46119676000000	39649824000000	119552984000	无		无		0.00		37.72		0		2.86		1066910000--	14397.68	14366.91	14458.88	14113.17	--		--		--		--		+19.69		1.21		0		945		54893815000	64659169000	--
899050		北证50		-2.50%		1565.58		-40.19		22.00%		3.55%		+0.00%		48044640000	944929110000	575170810000	2002445300	无		无		0.00		71.48		0		4.98		18337700--	1613.03		1605.77		1614.08		1557.07		--		--		--		--		--		1.70		0		--		--		--		--
SZ399006	创业板指	-1.96%		3321.89		-66.45		8.39%		3.22%		+0.04%		1086922220000	18897193000000	15296743000000	43383945000	无		无		0.00		68.46		0		6.03		405411000--	3390.69		3388.34		3416.84		3307.63		--		--		--		--		+14.62		1.34		0		808		19795018000	23588927000	--
SH000688	科创50		-2.80%		1469.57		-42.27		2.26%		3.39%		-0.06%		104449150000	4406893500000	4200087900000	1523474700	无		无		0.00		128.9		0		5.66		3278400--	1508.18		1511.84		1511.65		1460.41		--		--		--		--		+4.77		1.14		0		716		687811160	835663540	--
SH000300	沪深300		-0.60%		4761.03		-28.89		0.92%		1.91%		+0.03%		801054980000	--		--		30144950000	无		无		0.00		0		0		0		19099000--	4798.05		4789.92		4836.95		4745.52		--		--		--		--		--		1.12		0		--		--		--		--
SH000016	上证50		-0.34%		3132.93		-10.81		0.38%		1.74%		+0.02%		188852870000	--		--		6316009600	无		无		0.00		0		0		0		3144500--	3150.73		3143.74		3177.74		3123.17		--		--		--		--		--		1.10		0		--		--		--		--
SH000905	中证500		-1.28%		8143.28		-105.85		3.26%		1.99%		+0.03%		735218800000	--		--		36413103000	无		无		0.00		0		0		0		15782000--	8270.42		8249.13		8270.42		8106.61		--		--		--		--		--		1.17		0		--		--		--		--
SH000852	中证1000	-1.84%		8203.13		-153.88		4.58%		2.43%		+0.02%		824652000000	--		--		45444450000	无		无		0.00		0		0		0		33714000--	8381.04		8357.01		8381.04		8177.63		--		--		--		--		--		1.26		0		--		--		--		--
SZ399303	国证2000	-1.86%		10780.35	-204.67		5.40%		2.41%		+0.01%		1241034530000	--		--		69563479000	无		无		0.00		0		0		0		89189000--	11015.58	10985.02	11015.58	10750.59	--		--		--		--		--		1.25		0		--		--		--		--
