板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
电机		+1.41%		+0.01%		+0.02%		-0.78		-41713740	0		22		3		华瑞股份	+1.32%		+8.55%		+9.99%		--		--		-0.40%		--		1.02		638242910	16121211000	330973730000	284060710000	
专用设备	+1.33%		+0.05%		+0.05%		-1.92		-1409692800	5		144		45		蜀道装备	+6.08%		+7.69%		+9.62%		--		--		+6.08%		--		1.55		5395571800	76317274000	1656706300000	1399390800000	
白色家电	+1.33%		+0.02%		+0.02%		0.29		+1136884600	0		34		8		珠城科技	+3.36%		+3.45%		+4.28%		--		--		+2.13%		--		0.96		998421970	33991785000	1623640500000	1391578900000	
元件		+1.33%		+0.04%		+0.03%		-0.97		-2189142200	1		40		20		格利尔		+5.27%		+4.06%		+5.22%		--		--		+5.27%		--		1.01		1410279000	55725247000	1836693400000	1676418000000	
其他电子	+1.22%		-0.01%		-0.01%		0.84		-117505600	1		23		10		好利科技	+7.24%		+7.17%		+7.63%		--		--		+7.24%		--		1.14		739212510	23868927000	433359440000	359170840000	
环境治理	+1.19%		+0.04%		+0.05%		-0.39		-71192770	0		82		22		武汉天源	+4.54%		+4.63%		+4.02%		--		--		+5.20%		--		1.15		2149218600	21221359000	800791180000	685443620000	
美容护理	+1.17%		+0.03%		+0.02%		0.06		+21197220	0		26		5		力合科创	+2.50%		+2.41%		+3.57%		--		--		+1.66%		--		1.13		268302960	5573388200	338647360000	273237390000	
光学光电子	+1.16%		+0.05%		+0.04%		0.42		+114821000	2		71		32		乾照光电	+5.83%		+6.27%		+5.37%		--		--		+5.01%		--		1.16		5162323600	60582733000	1342817300000	1169350050000	
建筑装饰	+1.15%		+0.04%		+0.06%		-0.33		-589387700	6		97		46		农尚环境	+5.83%		+6.40%		+6.23%		--		--		+5.24%		--		1.13		4320466500	42865343000	1981390900000	1738183000000	
包装印刷	+1.14%		+0.03%		+0.03%		0.03		-228243710	0		34		12		新宏泽		+4.01%		+2.76%		+8.16%		--		--		+2.95%		--		0.91		1405093100	19005266000	303432400000	254152920000	
医疗器械	+1.11%		+0.02%		+0.02%		0.11		-546045500	1		109		23		安必平		+8.99%		+7.82%		+7.65%		--		--		+8.31%		--		1.14		1310738070	31996846000	1539390200000	1380692400000	
消费电子	+1.11%		+0.02%		+0.04%		-0.50		-2473981700	0		72		25		蓝思科技	+4.46%		+5.38%		+7.27%		--		--		+3.24%		--		1.17		3176482100	103305673000	3418023000000	3053881300000	
通用设备	+1.11%		+0.04%		+0.05%		1.81		-178449300	6		166		77		集智股份	+4.74%		+8.23%		+10.21%		--		--		+4.35%		--		0.91		5274640900	109155204000	1947915300000	1532739700000	
饮料制造	+1.10%		+0.03%		+0.03%		0.71		+256482370	1		37		6		国投中鲁	+2.82%		-0.93%		+1.46%		--		--		+1.87%		--		1.18		702411320	8904921700	778557220000	710602260000	
非金属材料	+1.08%		+0.06%		+0.05%		0.28		+34233379	0		12		1		长江材料	+5.25%		+3.43%		+8.69%		--		--		+5.25%		--		1.13		101616163	3419300600	120721440000	104082766000	
塑料制品	+1.03%		+0.07%		+0.08%		-0.87		-330756200	2		54		23		金发科技	+5.04%		+8.18%		+10.80%		--		--		+4.21%		--		1.37		2342482900	41869126000	654768680000	541068570000	
电网设备	+0.98%		+0.04%		+0.05%		-2.56		-2402824800	2		101		32		宝胜股份	+6.70%		+5.75%		+9.28%		--		--		+6.14%		--		1.27		5075056600	65771088000	1586607900000	1418960200000	
纺织制造	+0.98%		+0.12%		+0.13%		-0.09		+18474040	0		23		6		万事利		+2.66%		+4.93%		+6.83%		--		--		+1.88%		--		1.00		586454010	6844680800	220397870000	209371630000	
半导体		+0.94%		+0.02%		+0.03%		-0.88		-3928840000	0		109		58		臻镭科技	+10.54%		+9.93%		+11.75%		--		--		+10.54%		--		1.08		2991109200	221858000000	8316149700000	5959471300000	
