板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
轨交设备	+2.07%		+0.01%		+0.01%		0.66		+157513360	0		29		1		朗进科技	+5.38%		+5.36%		+9.76%		--		--		+5.99%		--		1.36		664549980	6075016200	477772090000	397659750000
白色家电	+2.02%		+0.03%		+0.03%		-0.33		-403056600	1		38		5		天银机电	+4.59%		+4.71%		+7.66%		--		--		+5.46%		--		1.11		1140274470	38175993000	1625699500000	1393062400000
半导体		+1.99%		+0.03%		+0.03%		-0.98		-3164005000	2		124		45		赛微微电	+8.08%		+11.00%		+15.34%		--		--		+12.73%		--		1.12		3346019000	244127720000	8408058700000	6057890400000
建筑材料	+1.99%		+0.04%		+0.04%		0.66		-146091270	5		51		18		中钢洛耐	+5.64%		+6.34%		+10.21%		--		--		+7.30%		+119.95%	1.17		2377813600	24648918000	893003320000	777649450000
塑料制品	+1.92%		+0.02%		+0.02%		-3.65		-2397788200	1		59		19		瑞华泰		+5.99%		+9.05%		+14.94%		--		--		+7.06%		--		1.29		2401341300	43699362000	673544170000	557407460000
包装印刷	+1.92%		-0.02%		-0.02%		-1.36		-1160496370	1		38		7		柏星龙		+5.01%		+3.17%		+11.69%		--		--		+6.01%		--		1.12		1670664400	21259488000	308829780000	259366460000
钢铁		+1.91%		-0.01%		-0.01%		0.13		+182013000	1		34		9		金洲管道	+5.21%		+5.03%		+10.66%		--		--		+5.01%		+112.88%	1.46		4886534300	22719041000	1073405590000	994627890000
电网设备	+1.85%		+0.05%		+0.05%		-0.75		-1022122800	1		114		23		中超控股	+7.02%		+6.63%		+11.16%		--		--		+8.67%		--		1.17		5032021200	68965604000	1603598300000	1433007100000
小家电		+1.84%		+0.00%		+0.00%		-0.81		+14442880	0		21		3		倍益康		+3.26%		+4.79%		+7.21%		--		--		+6.25%		--		1.31		292306140	6004879600	269627080000	260999030000
光学光电子	+1.80%		+0.04%		+0.04%		-0.65		-1676031700	3		80		26		联建光电	+6.54%		+7.32%		+9.51%		--		--		+7.74%		--		1.11		5410665600	68229463000	1363239500000	1188242340000
风电设备	+1.73%		+0.03%		+0.03%		-2.52		-2421683500	2		21		10		飞沃科技	+8.17%		+9.82%		+12.18%		--		--		+10.15%		--		0.93		1338195670	30646462000	560516800000	448018430000
美容护理	+1.72%		+0.04%		+0.04%		-1.03		-173881280	1		27		4		倍加洁		+2.49%		+3.91%		+6.05%		--		--		+4.26%		--		1.28		311546690	6525737400	342581220000	276988410000
专用设备	+1.69%		+0.02%		+0.02%		-0.93		-2138501300	8		138		52		中泰股份	+6.83%		+7.74%		+12.26%		--		--		+7.87%		--		1.38		5456996900	82441929000	1676542000000	1418234400000
家居用品	+1.66%		+0.02%		+0.02%		-0.18		-30295890	2		72		21		广博股份	+2.91%		+3.37%		+5.73%		--		--		+4.47%		--		1.52		1344194600	15944593000	690297710000	556481200000
食品加工制造	+1.64%		+0.05%		+0.05%		-0.41		-97418620	1		56		10		安记食品	+4.52%		+2.64%		+6.73%		--		--		+5.04%		+96.79%		1.39		1081846200	14574596000	802888930000	744459270000
证券		+1.64%		+0.05%		+0.05%		1.87		+4471178800	0		48		1		太平洋		+2.70%		+3.44%		+5.26%		--		--		+4.21%		--		1.29		5821150000	68572429000	4138132500000	3476587300000
饮料制造	+1.59%		+0.02%		+0.02%		-0.39		+18305560	0		39		7		品渥食品	+3.94%		+1.27%		+5.79%		--		--		+4.45%		--		1.22		784000850	10214345100	782982230000	713977540000
工程机械	+1.57%		+0.02%		+0.02%		-0.27		+127708270	1		29		7		邵阳液压	+6.22%		+6.95%		+9.38%		--		--		+6.57%		--		1.15		876248400	14881348000	907616420000	805772010000
橡胶制品	+1.52%		+0.07%		+0.07%		-1.53		-231868000	0		15		5		科强股份	+4.84%		+2.62%		+3.78%		--		--		+5.97%		+394.44%	1.24		253760160	5362787700	134285140000	116417507000
电机		+1.52%		+0.02%		+0.02%		-1.13		-463437880	0		20		5		华瑞股份	+3.60%		+6.76%		+12.78%		--		--		+2.86%		--		1.21		724347570	17730994000	335491380000	288167090000
旅游及酒店	+1.45%		+0.05%		+0.05%		-0.84		-11438780	0		30		5		君亭酒店	+3.83%		+2.54%		+6.19%		--		--		+3.27%		--		1.21		828151550	9749406900	266607940000	235361480000
物流		+1.43%		+0.05%		+0.05%		0.27		+221612070	3		36		12		普路通		+2.40%		+1.45%		+3.93%		--		--		+2.76%		+23.81%		1.30		1162401470	10289208800	759827020000	644525500000
白酒		+1.43%		+0.01%		+0.01%		0.28		+417007960	1		20		0		*ST岩石		+2.49%		-0.50%		+0.68%		--		--		+3.61%		--		1.46		189038660	14799154000	2979026600000	2961555900000
汽车零部件	+1.41%		+0.03%		+0.03%		1.40		-1872633400	4		192		62		艾可蓝		+4.13%		+6.32%		+11.12%		--		--		+4.62%		--		1.14		7183658100	126294605000	3170001800000	2564075900000
港口航运	+1.40%		+0.03%		+0.03%		-0.01		-98238510	0		30		4		招商轮船	+3.20%		-0.04%		+2.89%		--		--		+2.74%		--		1.35		1880352700	12438175600	1120238490000	975062170000
综合		+1.35%		-0.02%		-0.02%		-2.58		-1209403480	1		11		6		交运股份	+6.44%		+5.89%		+5.88%		--		--		+7.62%		--		1.30		944844100	15458334000	317047480000	306573880000
电子化学品	+1.35%		+0.02%		+0.02%		1.52		-264190700	1		29		12		江化微		+9.01%		+8.81%		+16.27%		--		--		+12.59%		--		1.11		1408411400	36080620000	601376960000	490381450000
服装家纺	+1.34%		+0.05%		+0.05%		-0.12		-42451220	5		53		19		明牌珠宝	+3.69%		+4.62%		+7.15%		--		--		+4.04%		--		1.24		1475939700	13590480000	479908970000	432466470000
电力		+1.34%		+0.01%		+0.01%		-0.03		+157877700	3		82		17		梅雁吉祥	+4.23%		+2.94%		+4.40%		--		--		+5.29%		--		1.21		5575301700	36036868000	3703935400000	3084878100000
医药商业	+1.29%		+0.04%		+0.04%		-0.63		-136079400	0		22		8		润达医疗	+5.81%		+4.85%		+9.82%		--		--		+8.58%		--		1.17		1061701990	14906859000	377085590000	320767950000
非金属材料	+1.23%		+0.04%		+0.04%		-1.35		-149947580	0		9		4		长江材料	+4.81%		+5.15%		+8.33%		--		--		+6.55%		--		1.20		117994327	3799540600	121319524000	104517504000
