板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
医疗服务	+4.44%		-0.03%		-0.03%		5.86		+1809325500	11		45		9		诺思格		+15.36%		+21.75%		+22.81%		--		--		+23.10%		--		1.70		2217391400	57758505000	1068802150000	887154600000
贵金属		+3.54%		+0.05%		+0.06%		1.28		+439046100	0		10		0		晓程科技	+7.56%		+10.51%		+14.80%		--		--		+13.78%		--		1.23		928445130	17963358000	618886370000	544321730000
油气开采及服务	+3.13%		-0.06%		-0.08%		0.45		+354809060	1		15		3		通源石油	+6.54%		+10.23%		+12.43%		--		--		+7.47%		--		1.32		2092880600	13483523000	1748998700000	382620830000
生物制品	+2.27%		+0.03%		+0.03%		0.37		+249206900	1		43		11		康乐卫士	+6.58%		+8.69%		+7.33%		--		--		+8.95%		--		1.71		896665170	20775804000	922925520000	717447200000
保险		+2.17%		+0.14%		+0.14%		-0.12		-333438400	0		5		0		新华保险	-0.87%		+7.47%		+15.82%		--		--		+10.26%		--		0.92		350467020	17144516000	3818049500000	2630106400000
医药商业	+1.89%		-0.05%		-0.05%		3.53		+488940220	2		24		6		漱玉平民	+6.46%		+6.52%		+13.47%		--		--		+10.62%		--		1.70		1601156400	20633383000	382823440000	324721270000
电网设备	+1.41%		+0.00%		+0.01%		-0.73		+171570100	2		80		56		亿能电力	+7.27%		+8.54%		+9.13%		--		--		+8.94%		--		1.47		6785811700	96936487000	1635000600000	1462099000000
游戏		+1.29%		+0.01%		+0.01%		3.00		-859283800	0		14		10		掌趣科技	+12.15%		+18.09%		+20.48%		--		--		+18.80%		--		2.12		3889249100	64206967000	691147330000	639734310000
化学制药	+1.21%		+0.02%		+0.02%		0.54		+882536300	2		101		55		新赣江		+5.03%		+7.01%		+6.90%		--		--		+7.89%		--		1.74		4012287900	64525881000	2919178700000	2222269000000
医疗器械	+0.98%		-0.01%		-0.01%		0.44		+844718900	1		89		43		宝莱特		+5.35%		+11.04%		+12.59%		--		--		+12.63%		--		1.44		1959797800	47550841000	1573723800000	1411880000000
中药		+0.86%		-0.01%		-0.01%		-0.10		+48141720	0		47		20		粤万年青	+2.26%		+2.24%		+1.56%		--		--		+3.97%		--		1.70		1987655800	18216233000	906371460000	867483580000
银行		+0.67%		+0.04%		+0.01%		0.09		+466750700	0		32		6		宁波银行	-0.50%		+0.07%		+0.51%		--		--		-1.02%		--		1.28		4418713300	36136545000	15491942000000	10457266700000
教育		+0.66%		-0.04%		-0.03%		8.05		+180944330	1		10		7		中公教育	+8.79%		+12.30%		+12.82%		--		--		+11.81%		--		1.78		1578402800	12852179200	117861089000	110316714000
文化传媒	+0.43%		-0.00%		+0.01%		-5.10		-7971959000	6		30		54		天龙集团	+15.79%		+22.37%		+21.05%		--		--		+19.67%		--		1.88		9675742400	146812230000	1111649720000	1024152630000
燃气		+0.40%		-0.01%		-0.02%		-0.85		-96177720	1		16		8		德龙汇能	+3.30%		+5.14%		+10.00%		--		--		+4.81%		--		1.16		673681630	7964333900	275803860000	261154210000
美容护理	+0.40%		-0.06%		-0.06%		0.24		+162203030	0		13		17		登康口腔	+3.01%		+4.61%		+6.50%		--		--		+4.74%		--		1.28		321328750	7307235300	343555340000	277229740000
综合		+0.38%		-0.05%		-0.05%		2.60		+1966103700	2		6		11		交运股份	+4.55%		+6.71%		+7.94%		--		--		+8.33%		--		1.30		1035040980	18041843000	330590670000	320207880000
能源金属	+0.32%		+0.06%		+0.07%		2.25		+1057989300	0		9		4		赣锋锂业	+2.39%		+5.28%		+16.30%		--		--		+8.99%		--		1.31		585549040	30945299000	553256800000	462194360000
石油加工贸易	+0.29%		-0.00%		-0.02%		0.14		+228942510	1		14		9		渤海化学	+0.03%		+4.52%		+7.84%		--		--		+1.85%		--		1.00		1133148040	9658793600	3103005600000	2711036500000
厨卫电器	+0.15%		+0.05%		+0.05%		1.08		+65093649	0		3		6		浙江美大	+3.78%		+6.00%		+8.57%		--		--		+5.86%		--		1.31		165918950	1929266000	65712416000	61210799000
电力		+0.13%		+0.01%		+0.02%		-0.16		-396337800	1		50		48		豫能控股	+3.06%		+2.72%		+3.26%		--		--		+5.47%		--		1.21		6064108300	40006689000	3779955500000	3082968800000
农化制品	+0.09%		+0.01%		+0.00%		-0.72		-621548000	0		25		33		盐湖股份	-0.78%		+2.83%		+7.20%		--		--		+3.77%		--		1.12		1766628400	26760621000	1050164970000	990886620000
服装家纺	+0.02%		-0.03%		-0.03%		-0.89		-362973760	3		38		37		明牌珠宝	+2.86%		+4.80%		+7.91%		--		--		+4.72%		--		1.33		1647714000	14529234000	479598410000	432673760000
港口航运	-0.14%		+0.04%		+0.04%		-0.21		-153672590	0		15		18		招商轮船	+1.95%		-0.33%		+3.43%		--		--		+2.75%		--		1.18		1745069200	11841662800	1122311050000	976949870000
工业金属	-0.23%		-0.00%		-0.00%		-0.43		-107651000	0		26		31		西藏珠峰	+2.02%		+7.61%		+15.52%		--		--		+7.95%		--		1.02		5612653300	81038457000	3610177000000	2759464800000
小家电		-0.26%		+0.07%		+0.09%		0.15		-93850400	1		8		16		莱克电气	+0.97%		+5.83%		+6.99%		--		--		+5.91%		--		1.32		317091030	5789520200	268671560000	260232040000
