板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值
公路铁路运输	-0.32%		-0.01%		-0.02%		-0.21		-115611630	0		8		19		申通地铁	-0.04%		-1.57%		+1.32%		--		--		+0.76%		--		1.02		949634000	5897596600	812107380000	755836420000
农产品加工	-0.43%		+0.04%		+0.04%		-1.67		-457751850	0		14		27		驱动力		-0.05%		+0.04%		+3.12%		--		--		+2.24%		--		1.29		833322540	7248689400	552425230000	370938290000
物流		-0.43%		+0.02%		+0.02%		-0.88		-302586270	2		11		37		炬申股份	+1.18%		+1.20%		+3.66%		--		--		+3.33%		--		1.18		1098502040	10401873900	755959580000	641005380000
环境治理	-0.54%		-0.01%		+0.00%		-1.09		-1159575390	0		40		65		倍杰特		+2.64%		+4.46%		+5.87%		--		--		+5.98%		--		1.12		2335294900	23478358000	796407370000	681015260000
建筑装饰	-0.57%		+0.00%		+0.00%		0.69		-574976800	5		55		87		深圳瑞捷	+3.77%		+5.87%		+8.89%		--		--		+7.93%		--		1.46		6339535700	47324197000	1991821500000	1746403800000
化学制品	-0.63%		-0.02%		-0.02%		-0.54		-225889500	1		55		115		华恒生物	+2.21%		+4.30%		+7.83%		--		--		+5.49%		--		1.07		2689879700	50506832000	1755431400000	1561377000000
环保设备	-0.63%		+0.05%		+0.05%		-2.11		-214575800	1		9		20		亚光股份	+3.37%		+4.95%		+10.09%		--		--		+6.76%		--		1.32		430795890	5485452300	140484990000	129066760000
家居用品	-0.67%		+0.04%		+0.04%		-0.79		-343953290	0		37		58		张小泉		+2.16%		+3.20%		+5.64%		--		--		+4.79%		--		1.35		1317873280	15732745000	687868860000	555479330000
造纸		-0.70%		+0.14%		+0.13%		-2.18		-303854930	0		7		14		民士达		+0.17%		-1.18%		+6.93%		--		--		+1.69%		--		1.33		900342870	5491062800	178275830000	170441300000
轨交设备	-0.74%		+0.01%		+0.01%		-0.51		-135296950	0		6		23		雷尔伟		+2.16%		+4.92%		+8.95%		--		--		+5.48%		--		0.94		521331550	5126532400	473773200000	394069410000
证券		-0.74%		+0.01%		+0.01%		-0.86		-1853387900	0		8		42		华林证券	-1.65%		+2.10%		+3.77%		--		--		+3.44%		--		0.99		4932203600	61319072000	4111383500000	3454312600000
种植业与林业	-0.79%		-0.00%		+0.01%		-2.08		-568286490	0		5		25		华绿生物	+1.41%		-0.27%		+4.72%		--		--		+2.25%		--		1.05		1274659660	12965923100	223752770000	214007690000
化学原料	-0.82%		-0.02%		-0.03%		-0.34		-145519190	1		15		44		*ST亚太		+1.63%		+4.71%		+9.86%		--		--		+7.72%		--		0.99		1921549300	19641180000	714734390000	677779250000
白色家电	-0.85%		-0.00%		+0.00%		-1.54		-1806653500	0		14		28		天银机电	+2.66%		+4.10%		+6.96%		--		--		+6.08%		--		1.14		1208043880	45492156000	1600503500000	1371524700000
旅游及酒店	-0.91%		-0.01%		-0.01%		-0.68		-273762900	0		5		30		陕西旅游	+2.29%		+1.47%		+4.88%		--		--		+3.03%		--		1.21		850738620	9281088200	264906350000	233468070000
养殖业		-0.96%		+0.02%		+0.01%		-1.61		-805054560	0		9		28		回盛生物	+1.39%		+2.22%		+3.23%		--		--		+4.84%		--		1.20		1247346540	11547673400	636879200000	520618110000
汽车整车	-1.07%		+0.09%		+0.07%		-0.71		-964382370	0		6		17		金龙汽车	-1.40%		-0.47%		-0.03%		--		--		+1.55%		--		1.13		1355267000	21942066000	2135005200000	1445805400000
影视院线	-1.18%		+0.00%		+0.00%		-4.70		-916056000	1		4		16		博纳影业	+11.29%		+13.99%		+8.28%		--		--		+15.97%		--		1.74		2163891300	20877190000	266419200000	246483710000
食品加工制造	-1.18%		-0.01%		-0.01%		-1.02		-457060870	0		9		57		好想你		+2.33%		+2.01%		+6.06%		--		--		+5.01%		--		1.24		1054068150	13591229000	796314250000	738343090000
软件开发	-1.18%		+0.03%		+0.03%		-4.35		-8862746000	3		38		100		通达海		+11.45%		+16.17%		+18.62%		--		--		+16.19%		--		1.70		6664769100	182777380000	2260434500000	1964656000000
饮料制造	-1.19%		+0.02%		+0.02%		-1.32		-425094860	0		5		41		中信尼雅	+1.72%		+0.33%		+5.12%		--		--		+4.41%		--		1.09		736244880	9549650100	775392020000	707121420000
汽车服务及其他	-1.20%		-0.03%		-0.04%		-0.58		-89317559	0		5		20		德众汽车	-0.33%		+1.70%		+3.17%		--		--		+2.93%		--		1.05		261304650	4243270400	268981630000	230110770000
非金属材料	-1.21%		+0.01%		+0.00%		-1.86		-181689010	0		4		9		平安电工	+2.30%		+3.61%		+6.63%		--		--		+7.19%		--		1.06		111317334	3652754800	119449845000	102584599000
光伏设备	-1.23%		-0.00%		+0.00%		-3.22		-4029786500	2		16		60		帝科股份	+4.55%		+7.02%		+11.32%		--		--		+11.02%		--		1.06		3492664000	80850755000	1797778200000	1556477600000
煤炭开采加工	-1.25%		+0.03%		+0.01%		-0.57		-517973360	0		5		28		电投能源	+2.63%		+3.25%		+2.34%		--		--		+6.64%		--		0.73		1211071830	9606879800	1887437600000	1596026300000
贸易		-1.28%		-0.08%		-0.06%		-1.42		-109505468	0		1		12		中信金属	+0.28%		+1.73%		+6.51%		--		--		+4.46%		--		1.15		375754550	2624890900	170260960000	102856170000
工程机械	-1.29%		+0.01%		+0.02%		-0.86		-352152460	0		9		26		金道科技	+3.47%		+5.17%		+6.36%		--		--		+6.73%		--		1.08		849582610	14651588000	902764600000	802566230000
钢铁		-1.29%		-0.01%		+0.01%		-1.25		-868384800	0		10		32		大中矿业	+2.04%		+2.38%		+8.62%		--		--		+5.51%		--		1.09		4133161300	20400278000	1057511590000	980320270000
互联网电商	-1.30%		+0.03%		+0.03%		-1.38		-382249480	0		5		14		有棵树		+9.81%		+12.31%		+11.38%		--		--		+17.45%		--		1.56		626621540	10716507900	154877590000	121713969000
电池		-1.30%		-0.01%		-0.01%		-1.80		-3631145800	0		19		83		安达科技	-0.36%		+1.03%		+6.54%		--		--		+5.89%		--		1.02		2980085100	97324222000	3493269800000	3163929400000
白酒		-1.33%		+0.02%		+0.01%		-0.40		-706253250	0		2		18		洋河股份	+0.32%		-0.81%		-0.82%		--		--		+3.51%		--		1.16		163902360	14170920000	2952122100000	2934957000000
房地产		-1.33%		-0.00%		+0.00%		-1.61		-1588325100	0		18		68		大名城		+1.02%		+2.93%		+5.02%		--		--		+5.11%		--		0.96		4966320200	27823270000	1095779950000	1025384330000
化学纤维	-1.34%		-0.02%		-0.03%		-1.62		-377343420	0		7		21		海 利 得	+0.31%		+4.56%		+13.36%		--		--		+5.42%		--		1.00		1076603310	9215626600	347204440000	300664010000
零售		-1.36%		-0.02%		-0.02%		-2.46		-2497686000	3		16		56		居然智家	+3.99%		+2.33%		+10.55%		--		--		+7.73%		--		1.34		5825791200	49661976000	951310940000	896554970000
多元金融	-1.39%		-0.05%		-0.05%		-1.09		-1847497500	1		6		20		鲁信创投	+3.79%		+7.49%		+13.57%		--		--		+8.39%		--		1.43		2209946300	23910142000	615626670000	586905090000
其他社会服务	-1.45%		-0.05%		-0.06%		-1.85		-320376900	1		8		30		外服控股	+4.17%		+5.62%		+8.21%		--		--		+10.06%		--		1.14		634176110	11439929800	263380150000	192252480000
建筑材料	-1.48%		-0.04%		-0.04%		-0.95		-1275054510	2		13		56		友邦吊顶	+2.98%		+4.32%		+9.15%		--		--		+8.00%		--		0.96		2009692400	19438428000	880236680000	765756790000
汽车零部件	-1.49%		-0.02%		-0.02%		-4.12		-5641756700	1		53		205		艾可蓝		+1.09%		+5.35%		+9.42%		--		--		+4.92%		--		1.12		7426861400	123639019000	3122936100000	2523052700000
机场航运	-1.55%		+0.04%		+0.09%		-0.88		-423872420	0		1		12		中国东航	-2.24%		-0.44%		+5.31%		--		--		-0.74%		--		0.95		1096208770	6268770700	802762400000	657173600000
小金属		-1.61%		+0.05%		+0.06%		-1.95		-1658799100	0		9		18		中矿资源	+6.35%		+12.01%		+23.40%		--		--		+15.37%		--		0.88		1340786020	49974056000	1111680480000	906874230000
专用设备	-1.63%		-0.01%		-0.01%		-3.64		-4151659400	3		51		143		山东墨龙	+3.72%		+6.21%		+9.55%		--		--		+8.28%		--		1.21		5339133000	75631874000	1642975000000	1388239200000
包装印刷	-1.73%		-0.01%		-0.01%		-2.53		-1163125380	0		9		38		上海艾录	+2.27%		+1.82%		+9.46%		--		--		+6.70%		--		0.97		1427655600	17152820000	302200100000	253478820000
黑色家电	-1.90%		-0.12%		-0.12%		-6.87		-978785930	0		3		6		兆驰股份	+2.90%		+8.16%		+9.44%		--		--		+10.47%		--		2.00		831181040	9041653800	166013180000	163277850000
塑料制品	-1.91%		-0.02%		-0.02%		-2.83		-1591038300	1		14		64		博菲电气	+3.10%		+6.99%		+12.93%		--		--		+7.25%		--		0.93		1874090200	32477079000	654178310000	540555870000
自动化设备	-1.92%		-0.03%		-0.03%		-2.01		-1832939000	1		18		73		步科股份	+3.76%		+9.39%		+14.06%		--		--		+9.23%		--		1.17		1421750900	53680405000	1265185120000	1141159980000
电机		-1.96%		-0.02%		-0.02%		-3.38		-1086713850	0		5		18		华阳智能	+1.44%		+5.09%		+10.28%		--		--		+2.85%		--		1.15		710641790	16928502000	326801500000	280624550000
IT服务		-1.98%		+0.02%		+0.03%		-6.81		-9819091400	1		28		98		思创医惠	+10.45%		+16.67%		+17.80%		--		--		+21.47%		--		1.48		8679618900	162386590000	1715928800000	1486232400000
纺织制造	-1.99%		+0.03%		+0.02%		-2.65		-514666200	0		9		22		新澳股份	+2.53%		+4.38%		+10.36%		--		--		+6.45%		--		1.10		664485010	7779928800	221881720000	210785480000
通用设备	-2.02%		-0.02%		-0.02%		-2.49		-3833371300	3		49		197		巨力索具	+3.60%		+7.04%		+10.51%		--		--		+8.53%		--		0.85		4934752400	109072757000	1959478100000	1545241400000
橡胶制品	-2.41%		-0.03%		-0.03%		-2.00		-301159740	0		3		17		联科科技	+1.15%		+1.70%		+1.69%		--		--		+6.51%		--		1.16		257820560	5805110600	130198363000	112706354000
通信服务	-2.49%		+0.06%		+0.06%		-2.05		-3202415000	1		7		38		三维通信	+8.50%		+12.21%		+11.26%		--		--		+17.10%		--		1.16		2515377100	46093486000	3393745100000	1191766260000
风电设备	-2.55%		+0.00%		-0.00%		-7.20		-5395668600	0		4		25		宏德股份	+3.17%		+6.84%		+7.65%		--		--		+9.94%		--		1.18		1716244500	44246543000	545146360000	435931080000
计算机设备	-2.59%		-0.00%		-0.00%		-3.93		-4062511200	1		8		73		佳缘科技	+4.05%		+9.12%		+12.02%		--		--		+13.00%		--		1.47		2654951700	62186464000	1326705090000	1203780660000
光学光电子	-2.63%		+0.02%		+0.02%		-0.50		-2015549100	0		10		94		天禄科技	+1.53%		+5.00%		+6.56%		--		--		+8.08%		--		0.95		4988983300	59525875000	1327173540000	1156454280000
其他电源设备	-2.65%		-0.04%		-0.04%		-4.25		-2194090700	0		5		26		中国动力	+4.31%		+5.14%		+7.36%		--		--		+10.15%		--		1.05		1524617900	30756583000	668215250000	530977580000
消费电子	-2.89%		-0.01%		-0.01%		-4.20		-10613209000	0		8		89		贝隆精密	+1.18%		+4.62%		+8.69%		--		--		+7.59%		--		1.10		3418271300	109412803000	3362070900000	2996849600000
元件		-2.95%		-0.03%		-0.03%		-3.59		-4714013900	0		8		52		宝鼎科技	+0.66%		+2.80%		+5.24%		--		--		+6.36%		--		1.00		1510274600	55897411000	1768743500000	1615750200000
其他电子	-3.21%		-0.05%		-0.05%		-7.00		-1583017300	0		3		30		伊戈尔		+2.21%		+5.45%		+7.03%		--		--		+10.45%		--		1.15		880433430	25424902000	429659570000	355401700000
半导体		-3.36%		-0.01%		-0.01%		-2.90		-13570489000	1		14		156		电科芯片	+2.56%		+8.17%		+9.18%		--		--		+13.26%		--		1.02		3172769500	222548730000	8132335600000	5836582900000
电子化学品	-3.53%		-0.01%		-0.02%		-4.65		-2128532500	0		1		39		方邦股份	+3.77%		+5.98%		+9.45%		--		--		+12.66%		--		0.88		1226522790	31480235000	577074070000	470226590000
金属新材料	-3.57%		-0.08%		-0.08%		-4.69		-1424357800	0		6		25		安泰科技	+4.70%		+6.92%		+11.89%		--		--		+13.65%		--		1.11		883073570	25103720000	391678800000	329778450000
通信设备	-3.69%		-0.02%		-0.03%		-6.89		-12298408000	1		13		76		东方通信	+5.18%		+7.29%		+13.05%		--		--		+7.51%		--		1.28		4176662600	178347410000	2901224100000	2550780000000
军工电子	-6.06%		-0.04%		-0.04%		-12.01		-8305487300	1		6		55		海格通信	+10.08%		+18.15%		+27.22%		--		--		+14.84%		--		0.98		3836963700	107148697000	1174389560000	1044524230000
军工装备	-6.43%		-0.01%		-0.00%		-6.87		-14487811000	1		5		76		*ST松发		+5.03%		+12.14%		+17.83%		--		--		+16.82%		--		1.05		4595086200	154580850000	2705628600000	2306063100000
