代码		    名称		涨幅		现价		当日成交额		主力净额		资金流向		主力资金流向[20260112]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间		
SH600828	茂业商业	+10.01%		7.69		3.99亿		+107779391	--		-727.76万	-118793372	3.00%		0.67		133.14亿	2		百货零售+自有物业	零售		【物业管理;信托概念;西部大开发;沪股通】	--		--		+31.01%		+7.40%		+10.01		+10.01%		26841530	267612		09:25:03	09:40:54	
SH600829	人民同泰	+2.20%		12.09		2.68亿		+4761028	36.41万		92.65万		364142		3.87%		1.08		70.11亿		--		--		医药商业	【民营医院;医药电商;流感;冷链物流;黑龙江自贸区;眼科医疗;宠物经济;医疗器械概念;沪股通】	--		--		+2.46%		+0.58%		+0.42		+0.42%		1288980		4042896		--		--		
SH600830	香溢融通	+0.71%		9.95		1.45亿		-9670262	31.52万		-92.58万	315182		3.23%		1.49		45.21亿		--		--		多元金融	【化债概念(AMC概念);烟草;共同富裕示范区;国企改革;互联网金融;融资融券;股权转让(并购重组)】	--		--		+3.32%		+7.57%		+0.30		+0.30%		2849125		1783040		--		--		
SH600831	广电网络	+2.93%		4.57		1.01亿		+6031610	--		-136.99万	-4660340	3.12%		1.73		32.49亿		--		--		文化传媒	【文化传媒概念;数字乡村;PPP概念;知识产权保护;数据确权;互联网金融;乡村振兴;智慧城市;智慧政务;农村电商;国资云;算力租赁;腾讯概念;国企改革;DeepSeek概念;西部大开发;百度概念;人工智能;智能家居;东数西算(算力);华为概念;数据中心;5G;摘帽】	--		--		+6.53%		+4.58%		+0.45		+0.45%		881635		884752		--		--		
SH600833	第一医药	+0.53%		13.33		5574.32万	-2033249	166.63万	-35.57万	1666308		1.88%		1.02		29.74亿		--		--		医药商业	【医药电商;宠物经济;上海国企改革;国企改革】	--		--		+0.23%		+2.54%		+0.15		+0.15%		304112		1305007		--		--		
SH600834	XD申通地	+0.47%		8.59		3440.89万	-2024426	--		-353.53万	-3306227	0.84%		0.87		41.01亿		--		--		公路铁路运输	【物业管理;国企改革;上海国企改革;碳交易;光伏建筑一体化;绿色电力;充电桩;无人驾驶;股权转让(并购重组)】	--		--		+2.73%		+4.10%		+0.23		+0.23%		381365		567799		--		--		
SH600835	上海机电	+0.07%		30.60		5.61亿		-27513716	5100.49万	2120.27万	51004918	2.27%		0.89		246.79亿	--		--		专用设备	【减速器;人形机器人;上海国企改革;雅下水电概念;机器人概念;物联网;国企改革;沪股通;融资融券】	--		--		+11.27%		+9.29%		-0.03		-0.03%		2852181		4121820		--		--		
SH600838	上海九百	+5.55%		14.26		12.85亿		+23768073	5738.20万	2965.57万	57382004	22.92%		0.98		57.17亿		--		--		零售		【物业管理;国企改革;参股券商;融资融券】	--		0		+29.99%		+63.16%		-1.85		-1.85%		20414234	13813662	--		--		
SH600839	四川长虹	+9.96%		10.38		39.98亿		+1138712550	4.39亿		6.95亿		439389950	8.70%		3.36		479.03亿	--		AI智能体+端侧AI+卫星导航+国企改革	黑色家电	【跨境支付(CIPS);财税数字化;信创;百度概念;区块链;华为欧拉;智慧城市;DeepSeek概念;物联网;ChatGPT概念;数字经济;星闪概念;人工智能;AI智能体;虚拟现实;多模态AI;华为海思概念股;华为概念;智能医疗;AI语料;云游戏;NFT概念;传感器;智能家居;工业互联网;毫米波雷达;小米概念;机器人概念;养老概念;智能音箱;消费电子概念;跨境电商;数据中心;医疗器械概念;血氧仪;低空经济;家用电器;苹果概念;OLED;华为数字能源;无人机;芯片概念;回购增持再贷款概念;西部大开发;国企改革;卫星导航;军工信息化;储能;军工;汽车热管理;军民融合;钒电池;锂电池概念;大飞机;航空发动机;融资融券;沪股通】	--		--		+14.19%		+13.82%		+0.00		+0.00%		11272087	22703396	14:23:22	14:23:22	
SH600841	动力新科	+1.26%		6.43		7466.68万	+1778894	404.07万	439.35万	4040722		1.12%		0.92		67.07亿		--		--		汽车零部件	【上海国企改革;农机;国企改革;换电概念;氢能源;无人驾驶;工业互联网;新能源汽车;数据中心;汽车芯片;沪股通】	--		--		+4.55%		+0.94%		+0.47		+0.47%		321552		826255		--		--		
SH600843	上工申贝	+3.36%		12.63		6.35亿		+12833455	8407.18万	4069.15万	84071757	10.83%		1.34		59.26亿		--		--		专用设备	【碳纤维;低空经济;工业互联网;机器人概念;新型工业化;比亚迪概念;沪股通;融资融券】	--		--		+5.96%		+6.76%		+0.49		+0.49%		2502664		6560022		--		--		
SH600844	金煤科技	-0.34%		2.93		5372.41万	-10625371	--		-582.12万	-2752294	2.23%		1.12		24.11亿		--		--		化学原料	【煤化工概念;可降解塑料;西部大开发;股权转让(并购重组)】	--		--		-0.68%		-5.18%		+0.00		+0.00%		237846		641963		--		--		
SH600845	宝信软件	+5.10%		24.94		20.14亿		+88941084	9929.60万	8927.44万	99295979	3.81%		2.26		532.23亿	--		--		IT服务		【云计算;AI智能体;ERP概念;DeepSeek概念;车联网(车路协同);上海自贸区;东数西算(算力);华为概念;央企国企改革;国企改革;工业互联网;新型工业化;机器人概念;数据中心;中国AI 50;人形机器人;融资融券;沪股通】	--		--		+22.62%		+22.74%		+0.72		+0.72%		19222770	20106628	--		--		
SH600846	同济科技	-0.98%		14.11		1.28亿		-12735035	--		-2282.80万	-37865719	1.46%		1.20		88.15亿		--		--		建筑装饰	【房屋检测;垃圾分类;建筑节能;装配式建筑;雄安新区;PPP概念;污水处理;国企改革;沪股通;融资融券】	--		--		+3.60%		-14.28%		+0.00		+0.00%		473100		630717		--		--		
SH600847	万里股份	+1.66%		12.25		3156.45万	-313093		--		-134.65万	-521573		1.69%		0.87		18.78亿		--		--		电池		【西部大开发】	--		--		+4.17%		+8.12%		+1.49		+1.49%		264168		183750		--		--		
SH600848	上海临港	-0.57%		12.25		3.80亿		-18136157	--		-3316.33万	-50812194	1.29%		0.94		293.25亿	--		--		房地产		【氢能源;创投;自由贸易港;上海自贸区;国企改革;独角兽概念;上海国企改革;融资融券;沪股通】	--		--		+2.42%		+7.36%		+0.32		+0.32%		3538668		3452050		--		--		
SH600850	电科数字	+7.96%		35.38		19.02亿		-78474769	8046.03万	535.74万	80460261	7.98%		1.95		240.65亿	--		--		IT服务		【卫星导航;商业航天;华为鲲鹏;车联网(车路协同);华为昇腾;智慧政务;数据安全;信创;网络安全;低空经济;智慧城市;数据要素;华为盘古;ChatGPT概念;云计算;数字乡村;人脸识别;大飞机;AI智能体;多模态AI;WiFi 6;AIGC概念;DeepSeek概念;无人驾驶;国资云;物联网;互联网金融;数字孪生;光刻机;人工智能;虚拟数字人;数字经济;华为概念;腾讯概念;东数西算(算力);阿里巴巴概念;职业教育;工业互联网;跨境支付(CIPS);智能医疗;央企国企改革;水利;机器人概念;短剧游戏;乡村振兴;新型工业化;国企改革;核电;数据中心;人形机器人;回购增持再贷款概念;智能电网;液冷服务器;沪股通;融资融券】	--		--		+23.10%		+31.62%		+6.68		+6.68%		33760872	8281043		--		--		
SH600851	海欣股份	-0.54%		7.43		7991.53万	+562419		--		279.70万	-398296		1.46%		0.92		54.85亿		--		--		化学制药	【物业管理;维生素;仿制药一致性评价;参股券商;生物疫苗;创新药;细胞免疫治疗;互联网金融;证金持股;融资融券;沪股通】	--		--		+4.35%		+5.09%		+0.40		+0.40%		163500		1061004		--		--		
SH600853	龙建股份	+3.11%		4.64		3.63亿		-6387235	2768.99万	1148.24万	27689940	7.67%		2.69		47.04亿		--		--		建筑装饰	【黑龙江自贸区;新型城镇化;地下管网;PPP概念;水利;旅游概念;国企改革;乡村振兴;冰雪产业;一带一路;生态农业;体育产业;创投;雅下水电概念;农村电商;智慧城市;商业航天】	--		--		+8.16%		+6.18%		+2.44		+2.44%		5631576		2030464		--		--		
SH600854	春兰股份	+1.20%		5.08		5007.04万	-1966005	817.93万	-107.36万	8179333		1.91%		1.09		26.39亿		--		--		房地产		【物业管理;家用电器;超超临界发电;军民融合】	--		--		+0.40%		+1.20%		+0.40		+0.40%		308448		350012		--		--		
SH600855	航天长峰	+4.89%		29.39		26.99亿		-121509084	1.06亿		-461.52万	106477640	19.99%		1.11		137.44亿	--		--		军工电子	【军工信息化;商业航天;军民融合;ETC;军工;无人机;车联网(车路协同);低空经济;安防;信创;智慧城市;物联网;央企国企改革;人工智能;数据中心;国企改革;储能;医疗器械概念;融资融券;沪股通】	--		--		+50.80%		+58.95%		-1.14		-1.14%		16442720	36584672	--		--		
SH600857	宁波中百	+0.22%		13.98		1.22亿		-15343012	462.98万	-941.95万	4629780		3.92%		1.59		31.36亿		--		--		零售		【参股银行;共同富裕示范区;黄金概念】	--		--		-1.41%		-4.25%		+0.00		+0.00%		241335		1672008		--		--		
SH600858	银座股份	+2.43%		7.16		5.93亿		-62194829	--		-2592.51万	-51941080	16.11%		1.85		37.06亿		--		--		零售		【国企改革;养老概念;充电桩;家用电器;抖音概念(字节概念)】	--		--		+5.60%		+14.93%		+0.86		+0.86%		12954375	7616092		--		--		
SH600859	王府井		+3.59%		16.16		11.32亿		-26578657	1.20亿		1312.58万	119980261	6.34%		1.43		181.61亿	--		--		零售		【免税店;冰雪产业;物业管理;跨境电商;IP经济(谷子经济);国企改革;京津冀一体化;抖音概念(字节概念);沪股通;融资融券】	--		--		+6.88%		+12.14%		+0.06		+0.06%		4444167		6373504		--		--		
SH600860	京城股份	+1.64%		13.04		1.88亿		+3290242	2772.61万	1872.64万	27726052	3.27%		1.23		57.90亿		--		--		通用设备	【天然气;氢能源;燃料电池;商业航天;低空经济;医疗废物处理;国企改革;京津冀一体化;机器人概念;俄乌冲突概念;新型工业化;沪股通;融资融券】	--		--		+3.41%		+3.57%		+0.55		+0.55%		424410		1679552		--		--		
SH600861	北京人力	+2.57%		18.74		1.27亿		-4783386	3303.73万	1042.30万	33037267	1.86%		2.24		68.70亿		--		--		其他社会服务	【职业教育;乡村振兴;国企改革;京津冀一体化;虚拟数字人;人工智能;一带一路;沪股通】	--		--		+3.54%		+2.85%		+0.11		+0.11%		133517		1660364		--		--		
SH600862	中航高科	+2.99%		27.88		29.77亿		-191104140	--		-1.26亿		-40618270	7.70%		1.32		388.38亿	--		--		军工装备	【大飞机;碳纤维;航空发动机;商业航天;低空经济;军工;央企国企改革;无人机;飞行汽车(eVTOL);高铁;国企改革;高端装备;创投;工业母机;人形机器人;沪股通;中字头股票;融资融券】	--		0		+22.93%		+31.26%		+1.59		+1.59%		37199250	19627492	--		--		
SH600863	内蒙华电	-1.08%		4.57		2.50亿		-8390006	--		-3118.54万	-37773426	0.84%		0.86		298.28亿	--		--		电力		【煤炭概念;证金持股;超超临界发电;绿色电力;国企改革;央企国企改革;西部大开发;风电;沪股通;融资融券】	--		--		-3.59%		-1.93%		-0.43		-0.43%		5390280		2200912		--		--		
SH600864	哈投股份	+3.02%		7.17		6.05亿		+63820634	1.03亿		7725.38万	102935210	4.09%		1.79		149.18亿	--		--		证券		【期货概念;参股券商;互联网金融;碳中和;黑龙江自贸区;参股银行;国企改革;创投;碳交易;沪股通;融资融券】	--		--		+5.13%		+5.44%		-0.29		-0.29%		3525520		5192514		--		--		
SH600865	百大集团	+3.45%		17.71		8.58亿		+14218670	8212.07万	3080.95万	82120729	13.18%		0.95		66.63亿		--		--		零售		【信托概念;物业管理;创投】	--		0		-18.39%		+63.98%		-0.12		-0.12%		10446390	18936028	--		--		
SH600866	星湖科技	+0.28%		7.14		1.64亿		-1974744	219.63万	-136.73万	2196252		1.83%		0.89		89.66亿		--		--		化学制品	【代糖概念;合成生物;国企改革;玉米;沪股通;融资融券】	--		--		+3.78%		+7.05%		-0.14		-0.14%		564534		663306		--		--		
SH600867	通化东宝	+0.24%		8.53		2.12亿		-30214245	395.68万	-2587.49万	3956833		1.28%		1.16		167.06亿	--		--		生物制品	【创新药;重组蛋白;减肥药;合成生物;回购增持再贷款概念;沪股通;融资融券】	--		--		+2.16%		-3.40%		-0.24		-0.24%		1109643		2240831		--		--		
SH600868	梅雁吉祥	+10.14%		3.91		8.86亿		+126594519	1.31亿		1.17亿		130938362	12.30%		2.82		74.22亿		--		锑银矿+飞轮储能+水电+时空大数据	电力		【水泥概念;小金属概念;时空大数据;绿色电力;新型城镇化;氢能源;水利;职业教育;储能;回购增持再贷款概念;粤港澳大湾区;智慧城市;数据要素;融资融券;沪股通】	--		--		+13.01%		+9.22%		+0.28		+0.28%		5043808		763623		13:53:20	14:42:20	
SH600869	远东股份	+3.13%		10.89		23.84亿		-59795076	--		-9865.84万	-120134306	9.96%		1.46		241.69亿	--		--		电网设备	【铜缆高速连接;超导概念;光纤概念;可控核聚变;液冷服务器;PET铜箔;人形机器人;宁德时代概念;数据中心;芯片概念;特斯拉概念;特高压;智能电网;固态电池;光伏概念;核电;高端装备;新能源汽车;储能;锂电池概念;充电桩;机器人概念;柔性直流输电;海工装备;东数西算(算力);华为概念;钠离子电池;商业航天;无人机;风电;军工;阿里巴巴概念;低空经济;雅下水电概念;人工智能;DeepSeek概念;独角兽概念;智慧城市;军民融合;回购增持再贷款概念;西部大开发;参股银行;沪股通;融资融券】	--		0		+36.47%		+41.80%		+2.56		+2.56%		26021241	23534379	--		--		
SH600871	石化油服	-1.72%		2.29		5.52亿		-51959071	--		-8376.10万	-100211846	1.78%		1.02		310.23亿	--		--		油气开采及服务	【可燃冰;页岩气;俄乌冲突概念;天然气;雄安新区;碳中和;国企改革;一带一路;海工装备;央企国企改革;氢能源;融资融券;沪股通】	--		--		+6.51%		+6.51%		-0.86		-0.86%		12334707	3645909		--		--		
SH600872	中炬高新	+0.39%		18.08		1.83亿		-8154463	--		-1000.86万	-200370		1.32%		1.08		139.39亿	--		--		食品加工制造	【粤港澳大湾区;沪股通;融资融券;稀土永磁】	--		--		+4.93%		+6.98%		-0.06		-0.06%		889200		1789721		--		--		
SH600873	梅花生物	+0.10%		10.22		2.96亿		-9880881	--		-2219.86万	-44897449	1.04%		1.01		286.59亿	--		--		化学制品	【代糖概念;参股银行;维生素;生物疫苗;西部大开发;合成生物;融资融券;沪股通】	--		--		-0.10%		+2.71%		-0.20		-0.20%		1293111		3572912		--		--		
SH600874	创业环保	+0.33%		6.06		9876.87万	-7647278	1033.00万	438.94万	10330039	1.33%		1.20		74.56亿		--		--		环境治理	【证金持股;PPP概念;污水处理;国企改革;地下管网;固废处理;雄安新区;绿色电力;京津冀一体化;储能;机器人概念;沪股通;融资融券】	--		--		+0.33%		+4.48%		+0.17		+0.17%		1854325		2588838		--		--		
SH600875	东方电气	-1.84%		25.60		28.76亿		-473861500	--		-5.60亿		-691967100	4.96%		1.49		579.42亿	--		--		其他电源设备	【可控核聚变;抽水蓄能;超超临界发电;核电;光热发电;风电;雅下水电概念;氢能源;高端装备;储能;燃料电池;央企国企改革;西部大开发;沪股通;融资融券;新能源汽车;国企改革;乡村振兴;DeepSeek概念;ChatGPT概念;人工智能;工业互联网;光伏概念】	--		--		+1.99%		+17.11%		-0.27		-0.27%		20815803	32117760	--		--		
SH600876	凯盛新能	+0.80%		10.10		5046.36万	+929952		--		-86.05万	-2898428	1.26%		1.22		39.96亿		--		--		光伏设备	【碳中和;国企改革;光伏概念;光热发电;央企国企改革;沪股通;融资融券】	--		--		-0.20%		+3.17%		+0.00		+0.00%		312624		491870		--		--		
SH600877	电科芯片	+9.98%		20.49		4.74亿		+153233050	--		-1.53亿		-323958747	1.95%		0.35		242.61亿	--		商业航天+卫星通信+央企	半导体		【商业航天;卫星导航;无人机;6G概念;毫米波雷达;无线充电;WiFi 6;传感器;MCU芯片;芯片概念;消费电子概念;5G;光伏概念;星闪概念;央企国企改革;数据要素;长安汽车概念;汽车电子;储能;汽车芯片;西部大开发;回购增持再贷款概念;国企改革;沪股通;融资融券】	--		--		+25.63%		+33.31%		+9.98		+9.98%		73276338	317595		09:30:02	09:30:02	
SH600879	航天电子	+10.00%		31.56		125.68亿	-656189280	--		-7.27亿		-573390430	12.24%		0.68		1041.26亿	3		商业航天+增资扩产+央企	军工装备	【商业航天;卫星导航;军工信息化;太赫兹;军民融合;军工;无人机;低空经济;量子科技;央企国企改革;高端装备;物联网;传感器;京津冀一体化;特高压;芯片概念;国企改革;医疗器械概念;沪股通;融资融券】	--		327687		+69.59%		+127.87%	+6.31		+6.31%		290088550	11203800	10:17:57	13:26:02	
SH600880	博瑞传播	+10.05%		7.12		2.20亿		+18891451	--		-1.61亿		-220165472	2.83%		0.24		77.82亿		2		AI应用+GEO服务+成都国资+传媒	教育		【小红书概念;文化传媒概念;NFT概念;短剧游戏;知识产权保护;虚拟数字人;IP经济(谷子经济);抖音概念(字节概念);Sora概念(文生视频);手机游戏;AIGC概念;数据确权;网络游戏;腾讯概念;蚂蚁集团概念;AI智能体;数据要素;旅游概念;数字经济;阿里巴巴概念;百度概念;跨境电商;区块链;互联网金融;人工智能;DeepSeek概念;鸿蒙概念;虚拟现实;智慧城市;乡村振兴;华为概念;国企改革;西部大开发;融资融券;沪股通】	--		--		+45.01%		+39.33%		+10.05		+10.05%		33478069	106088		09:25:01	09:25:01	
SH600881	亚泰集团	+0.53%		1.90		1.66亿		+4407711	1343.81万	563.85万	13438148	2.72%		2.08		61.41亿		--		--		综合		【物业管理;水泥概念;参股银行;体育产业;参股券商;禽流感;国企改革;医药电商;生物疫苗;创新药;煤炭概念;医疗器械概念;沪股通;融资融券;股权转让(并购重组)】	--		--		+0.53%		-0.52%		-0.53		-0.53%		638448		4858680		--		--		
SH600882	妙可蓝多	+1.85%		25.33		2.00亿		+2558213	4346.07万	1848.33万	43460737	1.56%		1.45		129.20亿	--		--		饮料制造	【乳业;三胎概念;数据要素;沪股通;融资融券】	--		--		-7.49%		-2.54%		+0.04		+0.04%		853384		1849090		--		--		
SH600883	博闻科技	+0.98%		8.21		2995.60万	+1078944	254.11万	133.60万	2541100		1.55%		0.87		19.38亿		--		--		种植业与林业	【西部大开发;人民币贬值受益;股权转让(并购重组)】	--		--		+0.61%		+3.66%		+0.37		+0.37%		534480		307875		--		--		
SH600884	杉杉股份	-3.82%		13.33		18.55亿		-233698590	--		-3.16亿		-473921960	7.54%		1.73		244.62亿	--		--		光学光电子	【钠离子电池;动力电池回收;石墨电极;金属镍;固态电池;氟化工概念;锂电池概念;小金属概念;宁德时代概念;石墨烯;超级电容;储能;比亚迪概念;OLED;光伏概念;消费电子概念;新能源汽车;苹果概念;MiniLED;共同富裕示范区;创投;虚拟现实;参股银行;沪股通;融资融券】	--		--		-1.77%		+0.68%		-0.29		-0.29%		4000890		10831958	--		--		
SH600885	宏发股份	-0.82%		31.36		4.98亿		-6841518	--		-4164.22万	-91603912	1.03%		1.17		485.33亿	--		--		电网设备	【智能电网;充电桩;储能;风电;光伏概念;宁德时代概念;新能源汽车;数据中心;特斯拉概念;飞行汽车(eVTOL);机器人概念;商业航天;华为概念;汽车电子;物联网;低空经济;福建自贸区;沪股通;融资融券】	--		--		+0.42%		+5.91%		-0.09		-0.09%		1595295		4402944		--		--		
SH600886	国投电力	+0.00%		13.30		2.50亿		-11221373	--		-1887.76万	-22037407	0.25%		0.87		991.41亿	--		--		电力		【同花顺中特估100;证金持股;央企国企改革;国企改革;绿色电力;抽水蓄能;沪股通;融资融券】	--		--		-0.82%		-3.34%		+0.00		+0.00%		857850		1977790		--		--		
SH600887	伊利股份	+0.22%		27.74		16.86亿		+1494558	--		-1.08亿		-184424420	0.97%		0.78		1745.94亿	--		--		饮料制造	【超级品牌;乳业;证金持股;宠物经济;三胎概念;生态农业;西部大开发;同花顺漂亮100;华为概念;沪股通;融资融券】	--		--		-5.00%		-0.61%		+0.00		+0.00%		9928096		14003707	--		--		
SH600888	新疆众和	-0.12%		8.56		3.33亿		+2637162	--		-2391.32万	-55325421	2.78%		1.05		120.16亿	--		--		工业金属	【新疆振兴;西部大开发;一带一路;石墨烯;军工;一体化压铸;沪股通;融资融券】	--		--		+7.67%		+11.75%		+0.70		+0.70%		3865550		966424		--		--		
SH600889	南京化纤	-0.73%		16.35		2.57亿		-46871656	--		-4666.22万	-61698640	4.29%		0.83		59.90亿		--		--		化学纤维	【光刻机;风电;商业航天;国企改革;机器人概念;工业母机;参股券商;人形机器人;沪股通;股权转让(并购重组)】	--		--		+1.30%		+7.14%		-0.55		-0.55%		2653560		3534870		--		--		
SH600893	航发动力	+2.21%		44.94		32.36亿		-225273480	2.09亿		-2608.77万	208768770	2.72%		1.18		1197.71亿	--		--		军工装备	【国产航母;大飞机;航空发动机;军工;央企国企改革;无人机;低空经济;高端装备;西部大开发;国企改革;同花顺漂亮100;沪股通;融资融券】	--		--		+8.71%		+23.39%		+1.21		+1.21%		34585400	21234150	--		--		
SH600894	广日股份	+0.21%		9.63		9053.98万	-6441801	--		-480.81万	-6860395	1.12%		0.87		81.19亿		--		--		专用设备	【证金持股;国企改革;智慧城市;粤港澳大湾区;人工智能;物联网;机器人概念;新能源汽车;新型工业化;汽车电子;融资融券;沪股通】	--		--		+4.56%		+8.08%		-0.10		-0.10%		1008960		942777		--		--		
SH600895	张江高科	-0.82%		47.15		46.25亿		-486109500	--		-3.57亿		-398331150	6.29%		0.97		730.21亿	--		--		房地产		【光刻机;芯片概念;上海自贸区;蚂蚁集团概念;新能源汽车;租售同权;数字乡村;创投;新型城镇化;参股券商;国企改革;乡村振兴;物业管理;沪股通;融资融券;证金持股】	--		--		+10.99%		+18.89%		+0.02		+0.02%		71781623	54062190	--		--		
SH600897	厦门空港	+1.22%		17.47		1.43亿		+627811		508.03万	404.87万	5080265		1.98%		0.90		72.84亿		--		--		机场航运	【海峡两岸;福建自贸区;国企改革;沪股通;融资融券】	--		--		-3.80%		-7.27%		+0.00		+0.00%		555772		2417848		--		--		
SH600900	长江电力	+0.40%		27.40		21.46亿		-38895910	2.78亿		1.55亿		277862760	0.33%		1.18		6577.99亿	--		--		电力		【同花顺中特估100;证金持股;央企国企改革;国企改革;参股银行;绿色电力;水利;创投;核电;同花顺漂亮100;沪股通;融资融券;储能】	--		--		-0.87%		-1.65%		+0.00		+0.00%		22855375	24646300	--		--		
SH600901	江苏金租	-1.59%		6.20		2.08亿		-4618156	--		-2487.55万	-42745469	0.58%		0.97		359.01亿	--		--		多元金融	【国企改革;融资融券;沪股通】	--		--		+0.49%		+5.26%		-0.95		-0.95%		1826448		1777540		--		--		
SH600903	贵州燃气	+0.15%		6.77		7551.84万	-6778298	--		-838.58万	-9049887	0.97%		1.49		77.86亿		--		--		燃气		【天然气;国企改革;西部大开发;氢能源;沪股通;融资融券】	--		--		+0.89%		+1.50%		+0.00		+0.00%		221052		737930		--		--		
SH600905	三峡能源	+0.00%		4.15		4.15亿		+6482198	--		-1565.50万	-41424014	0.35%		1.21		1186.39亿	--		--		电力		【同花顺中特估100;央企国企改革;国企改革;绿色电力;碳交易;碳中和;光热发电;抽水蓄能;风电;回购增持再贷款概念;同花顺漂亮100;储能;华为概念;钠离子电池;钒电池;融资融券;沪股通】	--		--		+0.48%		+0.24%		+0.24		+0.24%		1794208		8706700		--		--		
SH600906	财达证券	+1.43%		7.09		2.97亿		+14995453	5005.62万	3533.06万	50056173	1.99%		0.83		150.61亿	--		--		证券		【期货概念;雄安新区;国企改革;京津冀一体化;百度概念;融资融券;沪股通】	--		--		+3.20%		+3.66%		+0.00		+0.00%		1567857		6332788		--		--		
SH600908	无锡银行	+0.17%		5.90		7917.48万	-3032462	1315.94万	249.16万	13159372	0.67%		0.85		117.96亿	--		--		银行		【参股银行;沪股通;融资融券】	--		--		-1.17%		-0.84%		-0.51		-0.51%		1565206		367570		--		--		
SH600909	华安证券	+0.69%		7.31		10.94亿		-56019160	--		-9876.71万	-87704934	3.22%		0.65		341.99亿	--		--		证券		【期货概念;国企改革;沪股通;融资融券】	--		--		+9.60%		+13.16%		-0.55		-0.55%		9673356		11755211	--		--		
SH600916	中国黄金	+0.49%		8.24		2.13亿		-17427607	1589.72万	-388.02万	15897213	1.54%		1.34		138.43亿	--		--		服装家纺	【同花顺中特估100;央企国企改革;黄金概念;国企改革;回购增持再贷款概念;培育钻石;中字头股票;沪股通;融资融券】	--		--		+2.11%		+3.00%		+0.12		+0.12%		1559079		4566608		--		--		
SH600917	重庆燃气	+0.90%		5.61		4743.85万	+6166157	1099.62万	501.00万	10996170	0.55%		1.57		87.57亿		--		--		燃气		【天然气;国企改革;碳交易;西部大开发;央企国企改革;沪股通;融资融券】	--		--		+0.90%		+1.08%		+0.00		+0.00%		418112		1198296		--		--		
SH600918	中泰证券	+1.20%		6.77		2.79亿		+16715604	3156.76万	1954.36万	31567567	1.06%		1.04		265.78亿	--		--		证券		【期货概念;国企改革;沪股通;融资融券】	--		--		+1.80%		+1.04%		-0.15		-0.15%		983296		5400429		--		--		
SH600919	江苏银行	+0.96%		10.50		13.66亿		+66806504	1.88亿		9476.78万	187915214	0.71%		1.05		1926.89亿	--		--		银行		【高股息精选;沪股通;融资融券】	--		--		+1.74%		+0.86%		-0.10		-0.10%		6192440		11436600	--		--		
SH600925	苏能股份	-0.21%		4.66		5326.96万	+5659359	--		-250.84万	-26959943	0.71%		1.09		74.84亿		--		--		煤炭开采加工	【煤炭概念;国企改革;绿色电力;超超临界发电;风电;储能;沪股通】	--		--		+1.53%		-0.43%		+0.21		+0.21%		151164		303366		--		--		
SH600926	杭州银行	-0.32%		15.39		6.81亿		+69864613	--		-1903.04万	-49317859	0.61%		0.72		1115.62亿	--		--		银行		【沪股通;融资融券】	--		--		+0.20%		+0.85%		-0.52		-0.52%		3308544		5399320		--		--		
SH600927	永安期货	+1.31%		16.26		1.54亿		+6501483	447.24万	368.15万	4472392		0.65%		0.97		236.67亿	--		--		多元金融	【期货概念;互联网金融;国企改革;沪股通】	--		--		+5.65%		+8.98%		-0.31		-0.31%		923200		1165842		--		--		
SH600928	西安银行	+0.54%		3.75		8493.77万	-8556919	1820.89万	83.44万		18208889	0.51%		1.37		165.88亿	--		--		银行		【国企改革;西部大开发;一带一路;跨境支付(CIPS);移动支付;沪股通;融资融券】	--		--		-0.27%		+0.81%		-0.27		-0.27%		304668		1599000		--		--		
SH600929	雪天盐业	+1.06%		5.70		1.15亿		-6280734	1825.95万	99.66万		18259503	1.24%		1.54		93.46亿		--		--		化学原料	【国企改革;回购增持再贷款概念;钠离子电池;AI智能体;储能;固态电池;消费电子概念;沪股通;融资融券】	--		--		-0.70%		+0.00%		+0.00		+0.00%		523956		812820		--		--		
SH600930	华电新能	+0.31%		6.38		5.77亿		-19747616	7902.41万	3358.33万	79024091	3.63%		1.70		159.83亿	--		--		电力		【绿色电力;国企改革;注册制次新股;央企国企改革;一带一路;风电;核电;人工智能;储能;新股与次新股;融资融券】	--		--		-0.16%		-4.06%		-0.16		-0.16%		3480435		9381790		--		--		
SH600933	爱柯迪		-0.59%		20.18		2.98亿		-47579863	--		-2474.26万	-14320033	1.51%		0.91		197.23亿	--		--		汽车零部件	【人形机器人;一体化压铸;同花顺出海50;机器人概念;新能源汽车;人民币贬值受益;回购增持再贷款概念;沪股通;融资融券】	--		--		+4.78%		+5.93%		-0.05		-0.05%		663483		2926100		--		--		
SH600935	华塑股份	+1.87%		2.72		2.59亿		+4512137	962.03万	1181.92万	9620318		2.70%		1.82		95.40亿		--		--		化学原料	【水泥概念;国企改革;可降解塑料;硅能源;沪股通】	--		--		+9.68%		+10.12%		-0.75		-0.75%		3217630		2649824		--		--		
