板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
CRO概念		+3.56%		+0.02%		+0.02%		1.45		+1058957500	7		59		12		诺思格		+11.65%		+16.48%		+17.33%		--		--		+14.55%		--		1.72		2022832100	52043835000	1171481040000	958129020000
细胞免疫治疗	+2.92%		+0.04%		+0.04%		2.54		+918710000	5		47		14		荣昌生物	+9.52%		+14.11%		+14.88%		--		--		+13.48%		--		1.71		2094320600	44904515000	1193726110000	1038800070000
重组蛋白	+2.27%		+0.00%		+0.00%		0.37		+787495000	0		43		12		康乐卫士	+7.41%		+9.91%		+7.40%		--		--		+10.08%		--		1.84		1041551220	25108821000	807788440000	672640240000
减肥药		+2.21%		+0.05%		+0.05%		0.81		+787653900	3		43		16		普蕊斯		+7.35%		+10.53%		+10.65%		--		--		+10.46%		--		1.51		1562891000	38342099000	1535511300000	1368889300000
青蒿素		+2.18%		+0.01%		+0.01%		1.44		+187323070	2		6		4		德龙汇能	+2.92%		+3.85%		+5.19%		--		--		+3.78%		--		1.57		287482280	4674367000	263602730000	240317060000
家庭医生	+1.93%		-0.05%		-0.05%		0.67		-806641200	2		17		9		思创医惠	+12.21%		+13.91%		+18.24%		--		--		+14.14%		--		1.66		2365171800	48782551000	1711180800000	1157680250000
辅助生殖	+1.88%		-0.01%		-0.01%		2.75		+1086811700	4		54		17		思创医惠	+6.60%		+11.11%		+13.16%		--		--		+11.66%		--		1.63		2556712200	45782384000	1209199940000	1105029270000
维生素		+1.76%		+0.02%		+0.02%		2.04		+820089500	3		46		26		新赣江		+4.45%		+6.36%		+8.09%		--		--		+6.28%		--		1.88		2864884400	27188607000	811203790000	737006810000
阿尔茨海默概念	+1.74%		+0.04%		+0.04%		1.30		+109679800	2		27		12		博济医药	+8.01%		+10.67%		+11.00%		--		--		+11.25%		--		1.52		1291702160	26002302000	679186620000	622043250000
创新药		+1.64%		+0.01%		+0.01%		0.80		+2146352900	9		183		80		新赣江		+6.07%		+8.35%		+8.04%		--		--		+8.99%		--		1.63		7310007700	136242310000	5278549000000	4257069400000
流感		+1.55%		-0.01%		-0.01%		0.79		+1251818800	6		127		49		新赣江		+4.99%		+6.62%		+6.73%		--		--		+7.60%		--		1.68		5177361800	68225531000	2007717100000	1791234500000
