板块名称		涨幅		1分钟涨速		4分钟涨速		主力净量		主力金额		涨停数		涨家数		跌家数		领涨股		5日涨幅		10日涨幅		20日涨幅		概念解析		创建日期		年初至今		20160127至今		量比		总手		总金额		总市值		流通市值		
医药电商	+1.36%		-0.02%		-0.02%		1.19		+1453670400	5		114		46		新赣江		+4.87%		+6.45%		+8.34%		--		--		+7.20%		--		1.73		5731267100	65786227000	1912672800000	1721872100000
肝炎概念	+1.31%		-0.00%		-0.00%		0.43		+1052624600	4		95		41		普蕊斯		+5.13%		+7.72%		+8.34%		--		--		+8.59%		--		1.59		3967868900	63537081000	1610370300000	1454126100000
生物疫苗	+1.28%		+0.01%		+0.00%		0.11		+408256800	0		42		17		康乐卫士	+4.67%		+7.28%		+7.56%		--		--		+8.80%		--		1.35		1658518700	26979324000	1174849650000	1005567020000
金属铅		+1.24%		+0.01%		+0.01%		-0.28		+464022600	0		21		12		倍杰特		+5.20%		+9.94%		+16.77%		--		--		+10.00%		--		1.07		3709013400	54438952000	2029064700000	1728185500000
基因测序	+1.19%		+0.01%		+0.01%		0.31		-359732000	3		46		23		兰卫医学	+7.58%		+11.59%		+12.97%		--		--		+12.63%		--		1.49		2159818500	41716784000	935691060000	798139010000
幽门螺杆菌概念	+1.15%		-0.00%		-0.00%		0.92		+209820900	4		44		26		兰卫医学	+5.43%		+8.36%		+8.58%		--		--		+9.17%		--		1.78		2492063500	33366524000	742653780000	668180950000
毛发医疗	+1.15%		+0.03%		+0.03%		3.14		+408448740	2		16		8		澳洋健康	+3.21%		+5.69%		+6.66%		--		--		+5.11%		--		1.53		863535150	8788087000	242721130000	198356300000
猴痘概念	+1.13%		-0.00%		-0.00%		-0.70		+152502900	1		51		21		兰卫医学	+6.32%		+9.29%		+10.56%		--		--		+11.58%		--		1.47		2241477900	41751120000	935921420000	802332210000
合成生物	+1.10%		+0.01%		+0.01%		-0.28		-536151000	4		97		61		泓博医药	+4.98%		+7.77%		+9.92%		--		--		+8.17%		--		1.46		4788359500	78995723000	2167865900000	1839221100000
代糖概念	+1.03%		+0.01%		+0.01%		-1.08		-817620820	2		11		12		鲁信创投	+3.60%		+4.75%		+11.65%		--		--		+5.52%		--		1.45		710154660	10404303600	257265030000	248512930000
金属锌		+0.98%		+0.02%		+0.02%		-0.37		+332966200	0		24		14		倍杰特		+4.35%		+9.16%		+15.68%		--		--		+9.24%		--		1.08		3687630700	53536584000	2044009500000	1674084600000
禽流感		+0.97%		+0.01%		+0.00%		-0.56		-159196340	1		16		8		蔚蓝生物	+2.93%		+4.53%		+4.57%		--		--		+5.57%		--		1.60		719913410	8910500300	387984010000	359619570000
仿制药一致性评价	+0.97%		+0.01%		+0.01%		0.92		+795114700	2		92		45		尔康制药	+3.95%		+5.36%		+5.54%		--		--		+6.62%		--		1.66		4857541600	61004603000	2029431600000	1820834700000
黄金概念	+0.95%		+0.00%		+0.00%		1.19		+2810443300	3		42		33		上海建工	+3.58%		+6.38%		+12.19%		--		--		+7.33%		--		1.21		7206448800	102237998000	3847890600000	3240225900000
民营医院	+0.84%		-0.03%		-0.03%		1.49		+371510900	4		47		24		宝莱特		+4.27%		+7.96%		+9.89%		--		--		+9.59%		--		1.27		5188617400	50929929000	990622570000	905153980000
动物疫苗	+0.75%		+0.06%		+0.05%		-0.92		-27085490	1		13		6		蔚蓝生物	+3.13%		+4.28%		+4.95%		--		--		+5.53%		--		1.21		593424680	5275997800	175359090000	166730280000
智能医疗	+0.67%		-0.02%		-0.02%		-0.71		-10562686000	15		156		150		新赣江		+9.22%		+14.76%		+16.68%		--		--		+16.12%		--		1.65		19980737000	384792310000	5500767000000	4914062700000
AI应用		+0.59%		+0.02%		+0.02%		--		-15912136000	9		53		81		通达海		+10.30%		+10.30%		+10.30%		--		--		+10.30%		--		1.31		19548432000	362483400000	2738488800000	2435198000000
盐湖提锂	+0.55%		+0.05%		+0.06%		0.27		+784775700	0		26		21		倍杰特		+3.05%		+5.90%		+12.66%		--		--		+7.25%		--		1.15		2774268800	81708269000	3807326600000	2812672500000
抽水蓄能	+0.52%		-0.01%		-0.00%		-0.53		-2804756900	2		43		26		巨力索具	+7.53%		+7.61%		+10.17%		--		--		+10.88%		--		1.50		6118191800	106386681000	2171182400000	1930123500000
可燃冰		+0.47%		-0.03%		-0.02%		0.53		+375055780	0		7		5		中海油服	+4.15%		+7.58%		+9.87%		--		--		+7.12%		--		1.34		1246494490	9009040600	1058095100000	801054680000
丙烯酸		+0.46%		+0.04%		+0.04%		2.54		+382479690	2		6		10		天龙集团	+5.40%		+9.59%		+9.57%		--		--		+10.33%		--		1.51		705469320	11974041400	435671890000	406214900000
小红书概念	+0.43%		+0.01%		+0.01%		-10.48		-7539057100	6		22		31		天龙集团	+19.45%		+28.81%		+28.03%		--		--		+24.83%		--		1.19		6401657100	111776432000	606507840000	555534600000
金属铜		+0.40%		-0.00%		-0.01%		-0.44		-531459600	0		42		41		倍杰特		+3.43%		+7.77%		+14.36%		--		--		+8.74%		--		1.07		7394772300	117739856000	4259472200000	3579016000000
柔性直流输电	+0.40%		-0.01%		-0.01%		-0.02		+1006112500	1		26		27		双杰电气	+6.06%		+7.48%		+9.41%		--		--		+8.89%		--		1.49		4629445300	64949261000	1200979490000	1124393470000
DRG/DIP		+0.38%		+0.01%		+0.01%		-4.27		-948467000	0		10		12		迪安诊断	+13.92%		+17.90%		+20.59%		--		--		+21.61%		--		2.05		2081680800	31814637000	233789760000	214439270000
眼科医疗	+0.36%		-0.02%		-0.02%		-0.63		-846362100	1		28		25		荣昌生物	+4.29%		+7.60%		+7.52%		--		--		+9.41%		--		1.50		1711369500	48335583000	1253574360000	1107746990000
Sora概念(文生视频)	+0.27%		-0.02%		-0.02%		-7.78		-6800215700	3		15		26		值得买		+18.44%		+26.28%		+24.13%		--		--		+23.42%		--		2.10		6512671200	120890052000	716352860000	660359800000
快手概念	+0.22%		+0.02%		+0.02%		-9.33		-7434305500	6		14		35		天龙集团	+18.52%		+27.87%		+27.97%		--		--		+29.83%		--		1.23		6847141600	122413315000	668653920000	611851020000
信托概念	+0.18%		+0.00%		+0.00%		0.01		-267960210	1		10		12		德龙汇能	+4.91%		+5.67%		+11.29%		--		--		+8.90%		--		1.44		1813999700	14076248000	993960590000	892957210000
短剧游戏	+0.17%		+0.04%		+0.04%		-7.72		-10693646000	4		24		42		易点天下	+16.26%		+23.49%		+22.78%		--		--		+27.55%		--		1.73		11200086400	171901320000	1110690350000	1024863020000
AI语料		+0.16%		+0.02%		+0.02%		-9.42		-10560868000	6		16		31		值得买		+15.44%		+23.55%		+23.14%		--		--		+26.17%		--		1.96		7083089600	144261360000	1220642830000	1042895780000
医美概念	+0.07%		-0.02%		-0.02%		1.11		-152550400	2		50		40		漱玉平民	+3.20%		+7.71%		+9.85%		--		--		+9.59%		--		1.42		2744342800	47177620000	1322761740000	1177024630000
化肥		+0.06%		+0.00%		+0.00%		-0.97		-101696600	1		29		38		蔚蓝生物	+0.76%		+3.47%		+8.24%		--		--		+4.80%		--		1.10		3011383900	53504250000	1423275000000	1281175190000
俄乌冲突概念	+0.05%		-0.01%		-0.01%		-0.14		-695908100	1		39		34		通源石油	+3.66%		+7.40%		+11.60%		--		--		+7.41%		--		1.14		5027324200	64744769000	3890968100000	3424495900000
同花顺出海50	+0.05%		+0.05%		+0.05%		-0.73		-9553056000	0		23		27		药明康德	+1.11%		+4.67%		+5.56%		--		--		+4.99%		--		1.34		4869646000	193907680000	12934047900000	9602320600000
天津自贸区	+0.00%		-0.04%		-0.04%		1.52		+45885620	1		7		8		渤海化学	+2.68%		+2.81%		+2.31%		--		--		+3.30%		--		1.45		516690690	3646838400	111105208000	105949136000
工业大麻	-0.00%		-0.03%		-0.03%		-0.89		-244171390	0		19		12		莱茵生物	+2.80%		+5.88%		+7.51%		--		--		+7.46%		--		1.06		941112040	13303642900	397037440000	369994250000
牙科医疗	-0.01%		+0.03%		+0.03%		2.33		-246847800	2		16		13		瑞康医药	+5.18%		+11.34%		+13.74%		--		--		+13.04%		--		1.15		1311957320	19831109000	359188350000	308345750000
草甘膦		-0.02%		+0.06%		+0.06%		-0.57		-90928110	0		5		11		兴发集团	-0.72%		+0.81%		+4.32%		--		--		+2.79%		--		1.12		509715950	4232271000	223200770000	206133460000
三胎概念	-0.07%		-0.02%		-0.02%		-0.74		-1349326800	4		85		120		宝莱特		+4.09%		+6.86%		+9.05%		--		--		+8.16%		--		1.48		6790211000	89535386000	1845726600000	1655675300000
净水概念	-0.11%		+0.00%		+0.01%		-0.40		-36974900	1		30		41		莱克电气	+4.50%		+6.14%		+7.98%		--		--		+8.21%		--		1.23		1501872400	21876470000	974225730000	830964740000
宠物经济	-0.12%		-0.00%		-0.01%		-0.89		-449254100	1		59		65		漱玉平民	+3.79%		+4.98%		+7.01%		--		--		+7.16%		--		1.38		2282373400	40606441000	1516226200000	1358891200000
共同富裕示范区	-0.12%		-0.02%		-0.02%		0.00		-138859700	7		64		115		思创医惠	+4.60%		+7.19%		+10.71%		--		--		+7.91%		--		1.31		5777683600	99112227000	2261556700000	2060494500000
页岩气		-0.14%		-0.01%		-0.01%		0.30		+466609200	2		22		24		通源石油	+3.09%		+5.44%		+8.28%		--		--		+6.71%		--		1.07		3706392500	29112374000	4633539000000	2859929200000
高股息精选	-0.14%		+0.04%		+0.03%		0.08		-30137380	0		9		10		荣晟环保	+0.76%		+2.31%		+4.66%		--		--		+2.55%		--		1.15		1460104400	10368758600	1150737320000	984857810000
虚拟电厂	-0.15%		+0.01%		+0.02%		0.09		-1605164500	2		55		78		双杰电气	+6.36%		+8.32%		+9.88%		--		--		+10.70%		--		1.54		7063164700	127622002000	2555173800000	2234548700000
医疗器械概念	-0.17%		-0.01%		-0.02%		-0.91		-9608804000	7		193		195		泓博医药	+4.56%		+8.91%		+11.41%		--		--		+10.33%		--		1.16		13512968000	239786390000	6456582400000	5727545500000
养老概念	-0.17%		+0.01%		+0.01%		-1.18		-5449168000	7		80		125		思创医惠	+5.77%		+9.34%		+11.85%		--		--		+11.38%		--		1.40		11603363300	138916910000	2681714900000	2422036500000
金属钴		-0.18%		+0.02%		+0.02%		-0.19		-4042100	0		14		17		ST合纵		+3.65%		+9.57%		+16.57%		--		--		+10.47%		--		1.04		3447885000	70717202000	2860443200000	2336963700000
转基因		-0.21%		-0.01%		-0.02%		-2.19		-31702780	0		6		13		禾元生物-U	+2.88%		+2.61%		+5.69%		--		--		+5.76%		--		1.20		710079180	7494926200	177768870000	133626701000
ERP概念		-0.24%		-0.02%		-0.02%		-2.95		-2082322400	0		15		21		光云科技	+12.23%		+18.70%		+22.63%		--		--		+20.08%		--		1.49		2354316000	55617408000	593561670000	518292290000
芬太尼		-0.24%		-0.01%		-0.01%		-0.07		-25490437	0		5		2		ST人福		+0.23%		+4.21%		+4.04%		--		--		+6.86%		--		1.13		100891252	2176301900	125689262000	114054774000
农业种植	-0.25%		-0.00%		-0.00%		-0.69		-440103460	1		31		57		瑞康医药	+1.18%		+1.03%		+5.01%		--		--		+3.38%		--		1.31		2784157700	21389727000	692123020000	624148850000
小金属概念	-0.26%		+0.03%		+0.03%		-0.97		-2726270000	1		68		84		明牌珠宝	+3.91%		+8.35%		+15.50%		--		--		+10.48%		--		1.13		12369667300	215173210000	6372495500000	5368460000000
超级品牌	-0.27%		+0.03%		+0.03%		1.16		-550716800	1		10		38		中公教育	+1.03%		+1.89%		+3.43%		--		--		+3.16%		--		1.08		2549586800	49397457000	8574953000000	5547569600000
互联网保险	-0.28%		-0.01%		-0.01%		-1.45		-2168439200	0		8		12		卫宁健康	+8.22%		+16.54%		+17.66%		--		--		+18.46%		--		1.40		2272852100	60447258000	3647257000000	2588246500000
同花顺中特估100	-0.28%		+0.02%		+0.02%		-0.20		-7393652000	0		42		52		中国西电	+2.26%		+4.86%		+7.18%		--		--		+5.16%		--		1.20		11772353300	168346910000	32900247000000	21906397000000
文化传媒概念	-0.29%		+0.00%		+0.00%		-3.04		-9420215000	9		62		133		天龙集团	+10.06%		+14.57%		+14.88%		--		--		+17.41%		--		1.55		18500310000	229599730000	2330606100000	2122504100000
智能电网	-0.30%		-0.00%		-0.00%		-2.35		-7561598000	3		102		153		亿能电力	+6.65%		+8.76%		+9.64%		--		--		+11.07%		--		1.46		13619036000	238976520000	4749494500000	4156134200000
足球概念	-0.32%		+0.01%		+0.00%		-0.31		-197626100	0		15		19		流金科技	+5.83%		+8.80%		+10.30%		--		--		+10.69%		--		1.78		1354279800	16012429000	827687500000	781904200000
电力物联网	-0.33%		+0.02%		+0.02%		-0.56		-853887700	1		32		49		双杰电气	+6.67%		+9.52%		+10.25%		--		--		+11.43%		--		1.51		3276040300	58694786000	1189083720000	1038279700000
啤酒概念	-0.35%		-0.06%		-0.06%		-1.33		-567111030	0		8		22		嘉美包装	+3.34%		+4.73%		+12.64%		--		--		+6.58%		--		1.19		1153576070	12591991400	527109460000	476948460000
消毒剂		-0.38%		-0.00%		+0.00%		0.36		-340306600	1		21		35		尔康制药	+1.38%		+5.01%		+7.35%		--		--		+6.73%		--		1.25		2011688200	25089669000	717556560000	672011580000
金属镍		-0.39%		+0.02%		+0.02%		-2.38		-2295829400	0		16		21		ST合纵		+4.12%		+8.80%		+16.91%		--		--		+10.53%		--		1.16		4500783900	58507630000	1670401200000	1431382000000
上海国企改革	-0.40%		+0.02%		+0.03%		0.83		-1236745600	3		15		37		上海建工	+3.85%		+6.21%		+7.50%		--		--		+7.40%		--		1.80		3546625700	36665180000	1567243400000	1266245920000
横琴新区	-0.41%		+0.02%		+0.02%		-0.31		-777974900	3		16		26		宝莱特		+5.08%		+7.95%		+9.85%		--		--		+10.11%		--		1.36		2372643300	31549856000	403099040000	365154420000
手机游戏	-0.41%		+0.01%		+0.01%		-1.34		-2930747900	1		22		37		掌趣科技	+9.83%		+14.63%		+14.83%		--		--		+16.82%		--		1.90		6658864000	94991512000	1092834090000	987970470000
汽车拆解概念	-0.41%		-0.00%		-0.01%		-8.72		-2067202500	1		9		14		交运股份	+3.52%		+7.40%		+11.01%		--		--		+7.53%		--		1.10		3098708100	19915798000	325001830000	280000980000
拼多多概念	-0.42%		+0.04%		+0.04%		-2.89		-1993017100	1		10		30		光云科技	+13.01%		+17.70%		+21.58%		--		--		+21.81%		--		1.60		1930897300	48132752000	369029600000	318545610000
天然气		-0.42%		-0.02%		-0.02%		-0.24		-1407758400	3		70		79		通源石油	+3.46%		+5.28%		+7.98%		--		--		+6.76%		--		1.13		7505093500	77086619000	6024763400000	4066754100000
证金持股	-0.42%		+0.02%		+0.02%		-0.07		-9003348000	2		81		133		上海建工	+1.33%		+3.44%		+5.33%		--		--		+5.06%		--		1.16		20759443000	319233850000	39755160000000	31261486000000
网络游戏	-0.46%		+0.05%		+0.05%		-3.94		-5990992800	0		22		44		掌趣科技	+10.47%		+16.25%		+17.12%		--		--		+18.09%		--		1.91		10154897300	138281550000	1424543100000	1328161660000
绿色电力	-0.48%		-0.01%		-0.01%		-0.37		-7821607000	5		118		231		双杰电气	+2.97%		+3.92%		+5.50%		--		--		+7.01%		--		1.24		21136602000	240374890000	9235703000000	8027465900000
POE胶膜		-0.48%		-0.00%		-0.00%		-0.67		-100347390	0		7		20		明冠新材	+0.34%		+2.88%		+7.34%		--		--		+3.98%		--		0.91		596783540	10604295900	823304660000	799356210000
大豆		-0.49%		+0.02%		+0.02%		-1.22		-95772240	0		3		11		先达股份	-0.34%		-0.10%		+2.58%		--		--		+2.34%		--		1.16		488304440	3766473400	162827000000	155752350000
装配式建筑	-0.50%		+0.01%		+0.01%		0.94		-237227600	6		31		67		深圳瑞捷	+3.63%		+5.49%		+8.69%		--		--		+7.57%		--		1.43		4518638800	28608961000	1258782620000	1121222120000
特高压		-0.51%		+0.01%		+0.01%		-1.45		-5142451100	1		50		65		灿能电力	+5.70%		+7.54%		+10.70%		--		--		+9.54%		--		1.38		7955253100	136456890000	2392638200000	2061227000000
新疆振兴	-0.51%		-0.02%		-0.02%		-0.93		-3825438200	5		47		96		双杰电气	+3.63%		+5.70%		+8.51%		--		--		+7.56%		--		1.33		7837596500	105182859000	2302877500000	2042909300000
碳交易		-0.52%		-0.00%		+0.00%		-0.35		-5503588300	1		35		68		普路通		+4.33%		+6.86%		+8.80%		--		--		+8.74%		--		1.25		7464299500	88185352000	3998877300000	3562032600000
人造肉		-0.53%		+0.04%		+0.04%		-0.61		-20814740	0		8		11		好想你		+1.96%		+1.69%		+4.93%		--		--		+4.38%		--		1.26		511083850	5235888700	238128320000	219403990000
环氧丙烷	-0.54%		-0.01%		-0.01%		0.57		+104681330	1		4		17		渤海化学	+0.19%		+3.56%		+6.10%		--		--		+4.93%		--		0.99		614133420	9012813900	591345730000	567077910000
租售同权	-0.56%		+0.04%		+0.04%		-1.02		-591709710	2		7		19		明牌珠宝	+1.83%		+5.27%		+7.57%		--		--		+5.43%		--		1.03		1805737700	13865255000	465854350000	441000590000
ST板块		-0.58%		-0.03%		-0.03%		-1.38		-811563910	9		58		109		ST合纵		+1.62%		+3.28%		+5.44%		--		--		+5.08%		--		1.09		2790543900	15607468000	847138960000	682161140000
NMN概念		-0.62%		+0.04%		+0.04%		-0.84		-187930850	0		10		14		溢多利		+2.78%		+4.16%		+5.81%		--		--		+6.38%		--		1.26		811675790	7846771800	240709200000	217665170000
2025年报预增	-0.62%		+0.00%		-0.00%		-0.82		-1217075500	0		15		16		药明康德	+4.35%		+10.78%		+10.78%		--		--		+12.63%		--		1.25		1695242500	59056734000	2243008300000	1748711700000
水泥概念	-0.63%		-0.02%		-0.02%		1.82		+395203910	2		12		32		上海建工	+2.14%		+4.36%		+6.08%		--		--		+6.56%		--		1.50		3255784500	14865452000	755655330000	655506040000
参股保险	-0.64%		-0.03%		-0.03%		0.02		+72921900	0		18		36		用友网络	+3.69%		+5.75%		+8.73%		--		--		+7.35%		--		1.19		5206122900	44548697000	3304514900000	3000367100000
医疗废物处理	-0.64%		-0.01%		-0.01%		-0.88		-220524850	0		11		27		玉禾田		+2.17%		+3.47%		+5.04%		--		--		+5.79%		--		1.05		1014060800	9621839500	317550910000	257442880000
磷化工		-0.65%		-0.00%		-0.00%		-1.12		-1606397200	0		17		38		安达科技	-0.99%		+1.95%		+9.52%		--		--		+4.99%		--		1.00		2310858300	42951581000	1526073700000	1323789920000
钛白粉概念	-0.65%		+0.04%		+0.04%		-1.97		-47597450	0		4		10		国城矿业	+1.28%		+4.93%		+11.59%		--		--		+8.84%		--		0.88		627597770	6144238200	230586310000	216302850000
PPP概念		-0.68%		-0.01%		-0.01%		-0.62		-6866110400	4		59		124		上海建工	+3.26%		+5.01%		+6.77%		--		--		+6.80%		--		1.38		10653981100	105712889000	3127908900000	2778129600000
煤炭概念	-0.69%		+0.01%		+0.00%		0.05		+1451242400	1		26		59		特变电工	+2.59%		+4.42%		+5.71%		--		--		+6.58%		--		0.94		4975299800	45994530000	3142197600000	2764091900000
网红经济	-0.69%		-0.00%		-0.00%		-5.76		-8313240700	4		29		85		天龙集团	+7.98%		+10.65%		+14.00%		--		--		+13.64%		--		1.46		8745510900	127031465000	1095956360000	957657610000
参股银行	-0.69%		-0.01%		-0.01%		-0.72		-4131833500	1		57		117		科润智控	+2.03%		+3.53%		+6.84%		--		--		+5.69%		--		1.20		11205297800	109750029000	5893684300000	5098040400000
化债概念(AMC概念)	-0.70%		-0.02%		-0.01%		-1.98		-1247044600	1		8		34		通达海		+4.63%		+6.90%		+7.39%		--		--		+7.28%		--		1.32		2668713000	27664639000	588124340000	546011830000
新股与次新股	-0.70%		-0.01%		-0.01%		-1.54		-876041900	0		40		71		昊创瑞通	+3.11%		+4.41%		+1.97%		--		--		+7.06%		--		1.17		730383700	36426220000	2476001100000	269251500000
雄安新区	-0.71%		-0.01%		-0.01%		0.01		-927379900	8		57		123		深圳瑞捷	+3.38%		+5.48%		+7.52%		--		--		+6.93%		--		1.37		11136751500	116936487000	3247641400000	2850950900000
举牌		-0.72%		+0.05%		+0.05%		-0.44		-274194150	0		7		10		海尔生物	-0.07%		+1.45%		+2.92%		--		--		+3.34%		--		0.91		493926970	5119859100	440139780000	417726340000
冷链物流	-0.72%		-0.01%		-0.00%		-1.10		-2717600700	5		45		104		迪安诊断	+3.07%		+3.00%		+7.86%		--		--		+6.68%		--		1.26		7684722300	82063814000	2109924000000	1827764700000
统一大市场	-0.73%		-0.00%		-0.01%		-1.16		-1412543800	4		26		89		外服控股	+1.74%		+0.70%		+4.97%		--		--		+4.14%		--		1.27		5974867600	46273564000	1742851100000	1519833800000
共享单车	-0.73%		+0.02%		+0.02%		-1.68		-107221130	0		3		9		博实结		+3.12%		+5.18%		+6.64%		--		--		+6.21%		--		1.03		431181820	4734111800	117121646000	108333854000
知识产权保护	-0.73%		+0.02%		+0.03%		-6.15		-3107695600	3		14		37		人民网		+10.01%		+14.66%		+15.06%		--		--		+19.81%		--		1.85		4107640400	58360738000	526513830000	491168480000
同花顺漂亮100	-0.74%		+0.03%		+0.03%		-0.43		-16093677000	0		36		62		用友网络	+0.79%		+3.74%		+6.07%		--		--		+5.55%		--		1.18		10865121200	360443630000	26189572000000	22139248000000
污水处理	-0.74%		+0.01%		+0.01%		-1.29		-5986586600	3		75		140		亚光股份	+2.83%		+4.66%		+7.05%		--		--		+6.62%		--		0.94		7197783200	98990399000	2254791700000	1949770800000
食品安全	-0.74%		-0.02%		-0.02%		-0.03		-745281700	2		30		48		思创医惠	+5.03%		+8.36%		+9.74%		--		--		+10.24%		--		1.52		3359565900	40203252000	689801920000	612097790000
固废处理	-0.74%		+0.01%		+0.01%		-1.22		-2657086900	1		49		95		金隅集团	+2.69%		+4.10%		+5.94%		--		--		+6.41%		--		1.06		5712899700	57247529000	1582337100000	1370263400000
房屋检测	-0.75%		+0.03%		+0.03%		4.27		-490019500	2		14		30		深圳瑞捷	+5.37%		+7.79%		+8.88%		--		--		+10.98%		--		1.66		2132923800	17960986000	404069820000	360542600000
NFT概念		-0.76%		+0.02%		+0.03%		-7.00		-8086332400	1		19		52		值得买		+10.05%		+15.60%		+16.75%		--		--		+18.59%		--		1.62		8337173000	121459525000	1068021120000	972164320000
高压氧舱	-0.78%		-0.02%		-0.02%		4.94		+279077450	2		4		7		澳洋健康	+5.94%		+18.98%		+21.88%		--		--		+21.10%		--		1.35		620383800	10557923500	151396370000	147333930000
供销社		-0.80%		-0.05%		-0.06%		-2.66		-217289330	0		5		10		亚钾国际	+0.40%		+0.80%		+3.81%		--		--		+2.92%		--		1.31		704513690	3682538600	159480090000	143351780000
注册制次新股	-0.82%		-0.02%		-0.02%		-1.13		-876041900	0		30		56		昊创瑞通	+3.41%		+4.93%		+1.86%		--		--		+7.67%		--		1.15		648815480	32473228000	2349954700000	237112710000
可降解塑料	-0.83%		+0.00%		+0.00%		-0.71		-644538500	0		24		55		华恒生物	+2.79%		+5.74%		+9.00%		--		--		+6.63%		--		0.95		1955654800	30423008000	1210684160000	1109229410000
航运概念	-0.83%		+0.02%		+0.02%		-0.57		-1006211200	1		24		57		炬申股份	+1.22%		+1.02%		+3.41%		--		--		+3.87%		--		1.07		3633404200	33377146000	1969825300000	1752647400000
云游戏		-0.85%		+0.11%		+0.11%		-4.44		-1984635500	0		11		16		东方明珠	+9.88%		+16.55%		+20.92%		--		--		+18.63%		--		1.84		3908354200	53927193000	714014650000	663473360000
云办公		-0.85%		+0.00%		+0.01%		-2.37		-1951318700	3		12		37		光云科技	+12.26%		+17.46%		+18.33%		--		--		+20.63%		--		1.66		2628987500	57747690000	844124390000	754844860000
玉米		-0.86%		+0.03%		+0.03%		-1.33		-195520790	0		6		26		川宁生物	+0.35%		+0.36%		+5.11%		--		--		+3.83%		--		1.25		1167356710	9176381400	290827590000	245534540000
新型城镇化	-0.88%		+0.00%		+0.00%		0.26		-1065048300	5		64		144		深圳瑞捷	+3.50%		+5.69%		+8.13%		--		--		+7.40%		--		1.31		8611065900	63058361000	2017945000000	1782920600000
电子竞技	-0.89%		+0.06%		+0.06%		-1.91		-696201000	0		9		24		浙数文化	+7.88%		+12.68%		+14.75%		--		--		+14.23%		--		1.91		2986272100	45097114000	697026500000	627016720000
土地流转	-0.89%		+0.00%		+0.01%		-2.29		-692859720	0		9		30		川宁生物	+1.19%		+0.63%		+5.46%		--		--		+4.18%		--		1.18		2697690800	14661764000	435122100000	381260900000
特色小镇	-0.90%		-0.04%		-0.04%		-1.26		-252792300	0		12		28		盐湖股份	+1.23%		+2.24%		+4.24%		--		--		+4.16%		--		1.12		2483080400	16594063000	575645100000	530079230000
民爆概念	-0.91%		-0.01%		-0.01%		0.51		-86813680	0		8		17		晓程科技	+2.08%		+2.10%		+8.98%		--		--		+4.71%		--		1.39		1069922380	13480310000	377886980000	320191940000
旅游概念	-0.93%		+0.00%		+0.00%		-1.55		-4137764200	2		40		107		中公教育	+4.52%		+6.06%		+9.74%		--		--		+9.92%		--		1.34		10240221100	105513738000	1867513200000	1698779000000
期货概念	-0.93%		-0.01%		-0.01%		-0.65		-1907233200	0		14		54		美湖股份	-0.04%		+2.63%		+5.69%		--		--		+5.25%		--		1.02		5730910200	71742854000	3958390200000	3288812500000
