sina_code,name,tag,today_pct,turnover,open_pct,price,pct_10,link_dragon,vol,code
sz002131,利欧股份,1板/硬板(无炸)/AI智能体中军,9.94,17.002059936523438,-0.19,5.64,11.9,,9945736,002131
sz002208,合肥城建,1板/硬板(无炸),10.04,3.1069765090942383,10.04,12.38,20.9,,249516,002208
sz002361,神剑股份,1板/硬板(无炸),9.97,47.13713073730469,-3.3,14.34,112.44,,3813974,002361
sh601698,中国卫通,1板/硬板(无炸),10.01,6.4667487144470215,-0.74,35.73,47.83,,2731804,601698
sz000672,上峰水泥,1板/硬板(无炸),9.99,2.673682451248169,9.91,12.99,18.09,,259186,000672
sh603967,中创物流,1板/硬板(无炸),10.02,2.352764129638672,1.6,13.73,11.35,,81563,603967
sh603344,星德胜,1板/硬板(无炸),10.01,11.131627082824707,0.06,37.36,30.4,,60145,603344
sz003039,顺控发展,1板/硬板(无炸),10.01,3.0629327297210693,0.48,15.93,18.79,,189142,003039
sh603331,百达精工,1板/硬板(无炸),10.04,9.765257835388184,0.23,14.25,27.01,,197430,603331
sz002151,北斗星通,1板/硬板(无炸),10.0,20.945281982421875,-2.35,45.43,41.44,,927497,002151
sz000026,飞亚达,1板/硬板(无炸),10.01,5.8887858390808105,0.67,16.38,8.98,,214683,000026
sh603533,掌阅科技,1板/硬板(无炸),10.0,12.196908950805664,0.2,22.12,17.1,,535318,603533
sh600266,城建发展,1板/硬板(无炸),9.98,6.654626369476318,0.43,5.07,13.17,,1381330,600266
sh600363,联创光电,1板/硬板(无炸),9.99,3.964204788208008,-0.02,63.06,10.94,,178741,600363
sz003009,中天火箭,1板/硬板(无炸),10.0,12.176183700561523,-0.59,78.54,35.11,,189213,003009
sh603156,养元饮品,1板/硬板(无炸),9.98,1.5376015901565552,5.2,28.75,11.52,,193780,603156
sz002548,金新农,1板/硬板(无炸),9.95,10.154043197631836,1.45,6.08,12.18,,816864,002548
sh600879,航天电子,1板/硬板(无炸),10.01,18.758188247680664,-0.05,21.32,25.41,,6188888,600879
