代码		    名称		涨幅		现价		当日成交额		3日成交额		5日成交额		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		早盘竞价金额		尾盘竞价金额
SH600027	华电国际	+0.20%		5.02		2.88亿		--		--		0.67%		0.60		427.22亿	--		--		电力		【煤炭概念;超超临界发电;证金持股;绿色电力;国企改革;央企国企改革;风电;虚拟电厂;沪股通;融资融券;股权转让(并购重组)】	--		0		-4.02%		-3.46%		+0.00		776550		3823734
SH600028	中国石化	-0.49%		6.07		6.47亿		--		--		0.11%		0.55		5751.48亿	--		--		石油加工贸易	【同花顺中特估100;可燃冰;证金持股;煤化工概念;天然气;中字头股票;国企改革;央企国企改革;页岩气;一带一路;沪股通;融资融券;回购增持再贷款概念;氢能源;充电桩】	--		0		+2.53%		+2.36%		+0.33		2173212		7990487
SH600029	南方航空	-1.72%		8.01		4.97亿		--		--		0.46%		0.88		1079.50亿	--		--		机场航运	【证金持股;国企改革;央企国企改革;沪股通;融资融券】	--		0		+6.23%		+16.09%		-0.25		1049583		4769362
SH600030	中信证券	-3.25%		28.54		90.40亿		--		--		2.59%		1.71		3475.19亿	--		--		证券		【期货概念;证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100】	--		0		-0.31%		+0.04%		-0.71		46090744	53663762
SH600031	三一重工	-1.38%		21.43		11.12亿		--		--		0.61%		0.76		1816.06亿	--		--		工程机械	【同花顺出海50;雅下水电概念;农机;新疆振兴;证金持股;无人驾驶;一带一路;工业互联网;机器人概念;高端装备;同花顺漂亮100;人民币贬值受益;沪股通;融资融券】	--		0		+3.63%		+1.18%		-0.05		3329676		8636461
SH600032	浙江新能	+0.53%		7.55		5049.89万	--		--		0.28%		0.89		181.55亿	--		--		电力		【绿色电力;国企改革;抽水蓄能;风电;氢能源;沪股通;融资融券】	--		0		+2.30%		+3.57%		-0.27		119840		625895
SH600033	福建高速	-0.73%		4.08		2.06亿		--		--		1.83%		0.80		111.97亿	--		--		公路铁路运输	【福建自贸区;海峡两岸;参股银行;参股保险;国企改革;回购增持再贷款概念;融资融券;沪股通】	--		0		-5.12%		-14.29%		+0.24		1499268		1880064
SH600035	楚天高速	+0.00%		3.92		2687.62万	--		--		0.43%		0.81		63.12亿		--		--		公路铁路运输	【国企改革;智能医疗;在线教育;ETC;氢能源;人工智能;物联网;车联网(车路协同);国产操作系统;华为概念;WiFi 6;无线耳机;沪股通;融资融券】	--		0		+0.26%		-2.00%		+0.00		144648		843584
SH600036	招商银行	-1.35%		41.58		46.43亿		--		--		0.54%		1.38		8577.52亿	--		--		银行		【同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券;同花顺漂亮100】	--		0		-0.79%		-3.39%		+0.12		8212120		33848116
SH600037	歌华有线	+2.14%		7.63		1.31亿		--		--		1.25%		1.12		106.19亿	--		--		文化传媒	【文化传媒概念;国资云;智慧城市;DeepSeek概念;云游戏;国企改革;证金持股;物联网;华为概念;央企国企改革;数据中心;5G;融资融券;沪股通】	--		0		+4.95%		+0.53%		+0.40		414750		2247798
SH600038	中直股份	+3.53%		38.13		9.84亿		--		--		3.90%		2.15		255.06亿	--		--		军工装备	【央企国企改革;黑龙江自贸区;国企改革;国产航母;军民融合;低空经济;军工;大飞机;无人机;高端装备;飞行汽车(eVTOL);沪股通;融资融券;中字头股票】	--		0		+8.57%		+9.32%		-0.35		1361570		7141749
SH600039	四川路桥	+4.15%		10.30		3.55亿		--		--		0.40%		1.27		895.65亿	--		--		建筑装饰	【PPP概念;雅下水电概念;同花顺中特估100;国企改革;西部大开发;碳中和;碳交易;一带一路;锂电池概念;沪股通;融资融券;金属铜】	--		0		+4.67%		+10.04%		-0.40		532885		2822200
SH600048	保利发展	+3.13%		6.59		14.71亿		--		--		1.88%		1.34		788.85亿	--		--		房地产		【租售同权;物业管理;证金持股;国企改革;央企国企改革;智能家居;同花顺漂亮100;沪股通;融资融券】	--		0		+5.10%		+3.78%		-0.16		1578412		18344583
SH600050	中国联通	+1.74%		5.25		19.48亿		--		--		1.21%		2.25		1615.26亿	--		--		通信服务	【同花顺中特估100;国企改革;央企国企改革;DeepSeek概念;国资云;数据要素;一带一路;区块链;智能家居;人工智能;中字头股票;移动支付;云计算;数据安全;物联网;阿里巴巴概念;卫星导航;商业航天;量子科技;数据中心;6G概念;5G;沪股通;融资融券;同花顺新质50;中国AI 50】	--		0		+2.74%		-0.57%		-0.19		2688630		13715625
SH600051	宁波联合	+1.20%		7.59		4200.71万	--		--		1.79%		1.15		23.60亿		--		--		综合		【物业管理;共同富裕示范区;跨境电商;旅游概念;绿色电力;航运概念;煤炭概念】	--		0		+1.61%		-0.91%		+0.13		169726		382536
SH600052	东望时代	+0.42%		4.73		4858.87万	--		--		1.22%		0.77		39.93亿		--		--		电力		【体育产业;国企改革;文化传媒概念;储能;锂电池概念】	--		0		-0.84%		-4.25%		-0.42		45493		51557
SH600053	九鼎投资	-3.15%		20.88		4.86亿		--		--		5.37%		2.16		90.52亿		--		--		多元金融	【创投;PPP概念;人形机器人;跨境电商;沪股通;融资融券】	--		0		+7.52%		+14.04%		+2.04		12691822	8740368
SH600054	黄山旅游	-0.35%		11.43		4984.15万	--		--		0.85%		0.84		58.67亿		--		--		旅游及酒店	【旅游概念;参股券商;国企改革;DeepSeek概念;区块链;沪股通】	--		0		+0.53%		+1.96%		-0.35		137160		905256
SH600055	万东医疗	+1.28%		16.63		1.04亿		--		--		0.89%		0.93		116.92亿	--		--		医疗器械	【医疗器械概念;智能医疗;京津冀一体化;DeepSeek概念;阿里巴巴概念;云计算;绿色电力;一带一路;机器人概念;数据中心;超导概念;沪股通;融资融券】	--		0		+4.59%		+5.25%		+0.06		343387		1092591
SH600056	中国医药	+0.38%		10.54		1.13亿		--		--		0.72%		0.93		157.61亿	--		--		医药商业	【医药电商;流感;肝炎概念;仿制药一致性评价;猴痘概念;证金持股;创新药;医疗器械概念;国企改革;央企国企改革;中字头股票;沪股通;融资融券;脑机接口】	--		0		+0.76%		-1.95%		+0.00		273420		1471384
SH600057	厦门象屿	-2.68%		8.34		2.50亿		--		--		1.43%		1.29		174.52亿	--		--		物流		【海峡两岸;玉米;福建自贸区;农业种植;统一大市场;土地流转;冷链物流;乡村振兴;国企改革;一带一路;智能物流;数据要素;DeepSeek概念;沪股通;融资融券】	--		0		-2.23%		-6.08%		-0.58		764244		5146614
SH600058	五矿发展	--		--		0.00		--		--		0.00%		0.00		123.48亿	--		--		贸易		【央企国企改革;一带一路;国企改革;统一大市场;小金属概念;融资融券;沪股通】	--		--		+25.08%		+32.57%		--		--		--
SH600059	古越龙山	+0.33%		9.24		5736.62万	--		--		0.68%		0.82		84.23亿		--		--		饮料制造	【白酒概念;超级品牌;跨境电商;国企改革;回购增持再贷款概念;融资融券;乡村振兴;沪股通】	--		0		+0.11%		+2.10%		-0.11		227240		826056
SH600060	海信视像	-0.04%		23.87		2.07亿		--		--		0.67%		0.88		310.35亿	--		--		黑色家电	【智能家居;虚拟数字人;数字经济;DeepSeek概念;数据要素;人工智能;家用电器;元宇宙;多模态AI;AI智能体;虚拟现实;机器人概念;MR(混合现实);智能穿戴;AI眼镜;汽车电子;芯片概念;MCU芯片;沪股通;融资融券;MiniLED;消费电子概念】	--		0		-2.09%		-4.94%		-0.29		1092879		2420418
SH600061	国投资本	-1.15%		7.75		3.94亿		--		--		0.79%		1.14		495.53亿	--		--		证券		【期货概念;参股券商;信托概念;证金持股;国企改革;雄安新区;央企国企改革;沪股通;融资融券】	--		0		+3.20%		+3.89%		-0.51		1622400		2429416
SH600062	华润双鹤	+0.00%		18.55		1.12亿		--		--		0.58%		1.08		191.62亿	--		--		化学制药	【仿制药一致性评价;NMN概念;创新药;合成生物;青蒿素;减肥药;国企改革;央企国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		0		+0.65%		-0.43%		-0.11		113033		573195
SH600063	皖维高新	+0.32%		6.33		2.71亿		--		--		2.08%		1.00		130.97亿	--		--		化学纤维	【水泥概念;参股券商;国企改革;光伏概念;2025三季报预增;专精特新;融资融券;沪股通】	--		0		+3.43%		+6.93%		+0.00		859422		1450203
SH600064	南京高科	-0.34%		8.74		1.78亿		--		--		1.18%		0.90		151.23亿	--		--		房地产		【参股券商;参股银行;污水处理;证金持股;创投;国企改革;融资融券;沪股通】	--		0		+5.68%		+4.05%		+0.00		419206		3793160
SH600066	宇通客车	-0.88%		32.49		3.62亿		--		--		0.50%		0.61		719.31亿	--		--		汽车整车	【冷链物流;露营经济;同花顺出海50;DeepSeek概念;车联网(车路协同);燃料电池;无人驾驶;汽车热管理;新能源汽车;沪股通;融资融券】	--		0		-1.25%		+0.59%		-0.37		1107174		3502455
SH600067	冠城新材	+0.70%		4.33		1.74亿		--		--		2.88%		0.92		60.26亿		--		--		电网设备	【福建自贸区;海峡两岸;参股银行;创投;氢能源;储能;两轮车;锂电池概念;长安汽车概念;新能源汽车;比亚迪概念;机器人概念;无人机;人形机器人;融资融券;股权转让(并购重组)】	--		0		+4.34%		-6.88%		-0.47		326564		1122336
SH600071	凤凰光学	+1.70%		21.48		1.37亿		--		--		2.28%		1.26		60.48亿		--		--		光学光电子	【安防;物联网;国企改革;华为概念;机器人概念;机器视觉;央企国企改革;新型工业化;华为汽车;汽车电子;消费电子概念;太赫兹;芯片概念;锂电池概念;沪股通;融资融券】	--		0		+5.09%		+0.42%		-0.14		137085		1028892
SH600072	中船科技	+3.25%		12.07		4.28亿		--		--		3.31%		2.93		130.76亿	--		--		风电设备	【中船系;国产航母;同花顺中特估100;央企国企改革;PPP概念;国企改革;绿色电力;海工装备;风电;高端装备;工业互联网;储能;沪股通;中字头股票;融资融券】	--		0		+5.23%		-0.74%		-0.68		1668357		3435122
SH600073	光明肉业	+0.77%		6.53		5895.40万	--		--		0.97%		1.00		61.23亿		--		--		食品加工制造	【猪肉;预制菜;国企改革;上海国企改革;沪股通;融资融券】	--		0		+1.08%		-0.31%		-0.15		348410		360456
SH600075	新疆天业	+1.13%		5.36		2.71亿		--		--		2.98%		1.12		91.51亿		--		--		化学原料	【煤化工概念;生态农业;可降解塑料;水泥概念;新疆振兴;绿色电力;碳交易;西部大开发;国企改革;一带一路;回购增持再贷款概念;储能;沪股通;融资融券】	--		0		+13.32%		+14.29%		+0.94		1923860		1914592
SH600076	康欣新材	+2.75%		3.74		2.02亿		--		--		4.02%		0.79		50.29亿		--		--		包装印刷	【土地流转;乡村振兴;碳交易;碳中和;国企改革;回购增持再贷款概念;融资融券】	--		0		+12.31%		+29.41%		-0.55		806174		5289108
SH600078	澄星股份	-0.29%		10.46		4.35亿		--		--		6.27%		1.01		69.31亿		--		--		农化制品	【磷化工;绿色电力】	--		0		+5.55%		+0.77%		-0.48		3835656		4721644
SH600080	金花股份	+4.69%		8.03		1.10亿		--		--		3.69%		2.30		29.97亿		--		--		中药		【流感;创新药;医疗器械概念;西部大开发】	--		0		+1.65%		+0.50%		+0.91		350622		1340207
SH600081	东风科技	+0.59%		11.85		3140.77万	--		--		0.48%		0.79		65.53亿		--		--		汽车零部件	【长安汽车概念;一体化压铸;华为汽车;无人驾驶;机器人概念;氢能源;新能源汽车;汽车热管理;减速器;传感器;比亚迪概念;EDR概念;汽车电子;智能座舱;沪股通;融资融券】	--		0		+1.72%		-1.09%		+0.00		147250		603165
SH600082	海泰发展	+2.88%		4.29		9646.47万	--		--		3.59%		1.21		27.21亿		--		--		房地产		【天津自贸区;国企改革;京津冀一体化;创投】	--		--		+8.06%		+5.41%		-0.24		386880		1490346
SH600084	中信尼雅	-0.19%		5.27		2283.42万	--		--		0.39%		1.19		59.22亿		--		--		饮料制造	【农业种植;白酒概念;化债概念(AMC概念);乡村振兴;国企改革;新疆振兴;西部大开发;中字头股票;沪股通】	--		--		-1.86%		-4.01%		-0.19		79050		129115
SH600085	同仁堂		-0.43%		32.11		1.73亿		--		--		0.39%		0.96		440.38亿	--		--		中药		【超级品牌;证金持股;医药电商;流感;国企改革;智能医疗;DeepSeek概念;沪股通;融资融券】	--		--		+1.29%		-2.73%		-0.28		829728		2329934
SH600088	中视传媒	+1.16%		16.52		8652.22万	--		--		1.32%		1.15		65.70亿		--		--		影视院线	【文化传媒概念;旅游概念;虚拟数字人;乡村振兴;国企改革;融资融券;沪股通;中字头股票】	--		--		+3.51%		+0.30%		-0.49		510250		802872
SH600089	特变电工	-0.58%		24.05		53.97亿		--		--		4.42%		1.26		1215.20亿	--		--		综合		【柔性直流输电;抽水蓄能;特高压;超超临界发电;核电;硅能源;智能电网;虚拟电厂;黄金概念;高压快充;风电;海工装备;光伏概念;储能;煤炭概念;充电桩;雅下水电概念;绿色电力;煤化工概念;数据中心;一带一路;沪股通;融资融券;水利;新疆振兴;西部大开发;新能源汽车;工业互联网;碳纤维;雄安新区;物联网;创投;数字经济】	--		--		+4.61%		+7.37%		+0.37		36059491	38188995
SH600094	大名城		+6.89%		4.50		4.06亿		--		--		4.30%		3.35		95.68亿		--		--		房地产		【物业管理;参股券商;参股保险;旅游概念;数字经济;低空经济;卫星导航;商业航天;芯片概念;算力租赁;数据中心;6G概念;5G;沪股通;融资融券】	--		--		+8.43%		+11.11%		-0.95		1115892		4215150
SH600095	湘财股份	-2.32%		11.35		4.52亿		--		--		1.39%		0.83		324.52亿	--		--		证券		【参股券商;互联网金融;参股银行;创投;黑龙江自贸区;股权转让(并购重组);融资融券;沪股通】	--		--		+2.99%		-0.96%		-0.69		1278632		4462820
SH600096	云天化		-2.01%		34.70		17.19亿		--		--		2.71%		0.84		632.58亿	--		--		农化制品	【磷化工;氟化工概念;化肥;煤化工概念;煤炭概念;锂电池概念;西部大开发;碳中和;国企改革;乡村振兴;融资融券;沪股通】	--		--		+12.63%		+12.48%		-0.45		6401400		10268251
SH600097	开创国际	-0.93%		11.70		1.24亿		--		--		4.44%		1.41		28.19亿		--		--		养殖业		【航运概念;国企改革;上海国企改革;上海自贸区;人民币贬值受益】	--		--		+1.56%		-4.96%		-0.76		1813084		1531530
SH600098	广州发展	-0.45%		6.62		1.25亿		--		--		0.54%		0.91		232.09亿	--		--		电力		【超超临界发电;天然气;绿色电力;抽水蓄能;国企改革;可燃冰;风电;广东自贸区;氢能源;回购增持再贷款概念;充电桩;储能;粤港澳大湾区;融资融券;沪股通】	--		--		-2.07%		-0.90%		+0.15		646686		577264
SH600099	林海股份	+1.36%		10.41		2890.99万	--		--		1.28%		0.90		22.81亿		--		--		汽车服务及其他	【乡村振兴;国企改革;农机;央企国企改革;专精特新;两轮车;无人驾驶】	--		--		+1.56%		-2.25%		-0.10		70794		85362
SH600100	同方股份	+1.65%		9.25		7.70亿		--		--		2.48%		1.10		309.90亿	--		--		计算机设备	【网络安全;华为昇腾;信创;AI语料;算力租赁;国产操作系统;智慧城市;区块链;安防;ChatGPT概念;鸿蒙概念;AI智能体;国资云;在线教育;数据要素;AIGC概念;核污染防治;数字经济;东数西算(算力);物联网;DeepSeek概念;人工智能;华为概念;工业互联网;食品安全;机器视觉;京津冀一体化;机器人概念;土壤修复;创投;互联网保险;锂电池概念;数据中心;核电;央企国企改革;消费电子概念;储能;国企改革;雄安新区;可控核聚变;参股券商;液冷服务器;沪股通;融资融券;股权转让(并购重组)】	--		--		+12.80%		+2.44%		-0.11		2833353		4466825
SH600101	明星电力	+0.74%		9.47		1.02亿		--		--		1.97%		0.92		51.88亿		--		--		电力		【绿色电力;钒电池;智能电网;国企改革;西部大开发;央企国企改革;充电桩;小金属概念;沪股通;融资融券】	--		--		+2.38%		+3.38%		+0.00		344980		932795
SH600103	青山纸业	+0.00%		4.19		6.31亿		--		--		6.77%		0.84		92.70亿		--		--		造纸		【海峡两岸;共封装光学(CPO);创投;数据中心;5G;碳中和;乡村振兴;一带一路;国企改革;沪股通】	--		--		+6.89%		-1.64%		-0.95		1086470		9590910
SH600104	上汽集团	+0.46%		15.37		6.98亿		--		--		0.39%		0.93		1766.82亿	--		--		汽车整车	【超级品牌;网约车;国企改革;证金持股;参股银行;燃料电池;一带一路;上海国企改革;同花顺漂亮100;足球概念;无人驾驶;换电概念;车联网(车路协同);DeepSeek概念;华为汽车;新能源汽车;独角兽概念;动力电池回收;华为概念;固态电池;宁德时代概念;沪股通;融资融券】	--		--		-0.77%		+1.45%		+0.65		14884100	8009199
SH600105	永鼎股份	+2.60%		28.00		65.09亿		--		--		16.12%		0.96		409.36亿	--		--		通信设备	【超导概念;可控核聚变;光纤概念;共封装光学(CPO);商业航天;核电;海工装备;芯片概念;3D打印;5G;军工;数据中心;风电;比亚迪概念;新能源汽车;东数西算(算力);低空经济;专精特新;华为概念;华为汽车;数据安全;工业互联网;网络安全;一带一路;长三角一体化;沪股通;参股银行;融资融券】	--		--		+31.95%		+57.48%		+0.04		53368770	72539600
SH600106	重庆路桥	+0.16%		6.38		1.10亿		--		--		1.30%		1.12		84.79亿		--		--		公路铁路运输	【参股券商;ETC;西部大开发;PPP概念;参股银行;智慧城市;创投;沪股通;融资融券】	--		--		+3.24%		+0.95%		+0.16		204160		1586706
SH600108	亚盛集团	+0.31%		3.28		1.83亿		--		--		2.86%		0.92		63.86亿		--		--		种植业与林业	【土地流转;玉米;粮食概念;农业种植;啤酒概念;乡村振兴;国企改革;代糖概念;参股券商;西部大开发;跨境电商;水利;回购增持再贷款概念;融资融券;沪股通】	--		--		+0.61%		+3.80%		-0.31		2002944		1504536
SH600109	国金证券	-1.98%		9.43		5.41亿		--		--		1.54%		1.46		349.42亿	--		--		证券		【期货概念;西部大开发;腾讯概念;沪股通;融资融券】	--		--		+2.72%		+1.84%		-0.42		1538548		2927072
SH600110	诺德股份	+1.07%		7.54		5.46亿		--		--		4.20%		1.00		130.83亿	--		--		电池		【PET铜箔;固态电池;锂电池概念;宁德时代概念;PCB概念;储能;比亚迪概念;特斯拉概念;新能源汽车;粤港澳大湾区;绿色电力;无人机;核电;军工;融资融券;股权转让(并购重组);沪股通】	--		--		+7.25%		+1.75%		-0.13		1223290		7772986
SH600111	北方稀土	-3.54%		48.71		78.71亿		--		--		4.45%		1.28		1760.90亿	--		--		小金属		【稀土永磁;小金属概念;金属回收;2025三季报预增;军工;同花顺漂亮100;西部大开发;专精特新;氢能源;国企改革;回购增持再贷款概念;沪股通;融资融券】	--		--		+7.15%		+3.95%		-1.45		48560589	65912911
SH600113	浙江东日	-1.92%		61.97		2.66亿		--		--		1.04%		0.90		254.96亿	--		--		零售		【冷链物流;统一大市场;预制菜;乡村振兴;参股银行;共同富裕示范区;中俄贸易概念;国企改革;长三角一体化;智能医疗;人工智能;融资融券;沪股通】	--		--		-1.35%		+10.92%		-0.16		321708		3631442
SH600114	东睦股份	-2.81%		30.79		5.18亿		--		--		2.71%		0.87		189.78亿	--		--		通用设备	【人形机器人;3D打印;特斯拉概念;消费电子概念;苹果概念;新能源汽车;小米概念;机器人概念;数据中心;柔性屏(折叠屏);两轮车;低空经济;华为概念;燃料电池;东数西算(算力);智能医疗;沪股通;融资融券】	--		--		+0.75%		+5.52%		-0.57		1449000		3636299
SH600115	中国东航	+0.65%		6.18		5.10亿		--		--		0.49%		0.54		1052.14亿	--		--		机场航运	【跨境电商;同花顺中特估100;证金持股;国企改革;央企国企改革;大飞机;3D打印;沪股通;融资融券;中字头股票】	--		--		+9.38%		+22.38%		-0.65		2114870		4206881
SH600116	三峡水利	+0.00%		6.51		5253.16万	--		--		0.42%		0.57		124.48亿	--		--		电力		【国企改革;央企国企改革;绿色电力;西部大开发;水利;虚拟电厂;充电桩;储能;沪股通;融资融券;小金属概念】	--		--		-0.46%		+1.40%		+0.00		158193		548142
SH600117	西宁特钢	+0.69%		2.93		8560.38万	--		--		0.90%		1.28		95.37亿		--		--		钢铁		【特钢概念;西部大开发;雅下水电概念;煤炭概念;海工装备;军工;商业航天;沪股通】	--		--		+5.78%		+4.27%		-0.34		456460		668919
SH600118	中国卫星	+1.77%		102.00		148.47亿	--		--		12.33%		0.82		1206.14亿	--		--		军工装备	【商业航天;卫星导航;大飞机;6G概念;国产航母;军民融合;中字头股票;军工;无人机;低空经济;高端装备;央企国企改革;芯片概念;水利;人工智能;一带一路;京津冀一体化;国企改革;智能医疗;沪股通;融资融券】	--		--		+69.69%		+109.53%	-1.23		127987200	277821480
SH600119	长江投资	+1.54%		7.92		3188.92万	--		--		1.11%		1.09		28.93亿		--		--		物流		【物业管理;租售同权;上海国企改革;跨境电商;统一大市场;国企改革;自由贸易港;长三角一体化;卫星导航;金属铜】	--		--		+0.76%		-6.60%		-0.26		11670		434016
SH600120	浙江东方	+4.43%		6.84		13.56亿		--		--		5.87%		1.69		233.61亿	--		--		多元金融	【量子科技;创投;信托概念;参股券商;参股银行;国企改革;共同富裕示范区;参股保险;期货概念;证金持股;融资融券;中芯国际概念;沪股通】	--		--		+13.06%		+10.68%		+1.22		8974368		8937144
SH600121	郑州煤电	-2.35%		4.57		4.85亿		--		--		8.70%		1.90		55.68亿		--		--		煤炭开采加工	【煤炭概念;国企改革;安防;工业互联网;数据要素;DeepSeek概念;东数西算(算力);机器人概念;信创;沪股通;融资融券】	--		--		+7.28%		+4.58%		-1.71		5667660		5002779
SH600123	兰花科创	-0.97%		6.13		1.47亿		--		--		1.62%		1.59		90.31亿		--		--		煤炭开采加工	【煤炭概念;煤化工概念;化肥;国企改革;沪股通;融资融券】	--		--		+4.07%		-1.45%		+0.16		2737920		1234582
