代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SH600022	山东钢铁	-1.25%		1.58		3.01亿		2.61亿		-12856923	71.73万		-3334.44万	-34082360	1.54%		1.19		169.04亿	--		--		钢铁		【特钢概念;国企改革;回购增持再贷款概念;工业互联网;人工智能;机器人概念;融资融券;沪股通】	--		0		+3.27%		+4.64%		+0.00		+0.00%		2184480		4333466		--		--
SH600023	浙能电力	-0.59%		5.05		3.62亿		2.85亿		-32223235	52.08万		-2534.75万	-16813430	0.42%		1.05		677.14亿	--		--		电力		【超超临界发电;绿色电力;国企改革;核电;可控核聚变;沪股通;融资融券】	--		0		-1.94%		-2.13%		+0.00		+0.00%		3761232		1463995		--		--
SH600025	华能水电	+0.33%		9.23		2.12亿		2.33亿		-10805254	3728.42万	803.78万	37267695	0.14%		1.36		1661.40亿	--		--		电力		【央企国企改革;国企改革;绿色电力;西部大开发;水利;风电;同花顺漂亮100;沪股通;DeepSeek概念;华为概念;融资融券】	--		0		+0.44%		-2.02%		+0.00		+0.00%		950360		1548794		--		--
SH600026	中远海能	+1.32%		13.81		12.78亿		10.09亿		-13744653	1.47亿		1.33亿		146503648	2.11%		1.08		479.87亿	--		--		港口航运	【航运概念;俄乌冲突概念;上海自贸区;天然气;央企国企改革;同花顺中特估100;回购增持再贷款概念;国企改革;一带一路;证金持股;人民币贬值受益;沪股通;融资融券;中字头股票】	--		0		+17.73%		+21.03%		+0.81		+0.81%		7905996		9426706		--		--
SH600027	华电国际	-0.20%		5.03		3.48亿		4.39亿		-27034401	11.41万		-3700.96万	-35297406	1.02%		1.31		428.07亿	--		--		电力		【煤炭概念;超超临界发电;证金持股;绿色电力;国企改革;央企国企改革;风电;虚拟电厂;沪股通;融资融券;股权转让(并购重组)】	--		0		-4.19%		-4.01%		+0.20		+0.20%		772145		1938059		--		--
SH600028	中国石化	+0.00%		5.97		25.36亿		14.97亿		+125570998	729.47万	7171.71万	7452663		0.26%		0.81		5656.72亿	--		--		石油加工贸易	【同花顺中特估100;可燃冰;证金持股;煤化工概念;天然气;中字头股票;国企改革;央企国企改革;页岩气;一带一路;沪股通;融资融券;回购增持再贷款概念;氢能源;充电桩】	--		0		+3.11%		+3.29%		-0.34		-0.34%		16998555	14206212	--		--
SH600029	南方航空	-1.27%		7.78		5.33亿		4.98亿		-66798691	--		-2577.58万	-50992105	0.47%		1.11		1048.50亿	--		--		机场航运	【证金持股;国企改革;央企国企改革;沪股通;融资融券】	--		0		+3.46%		+12.43%		-1.02		-1.02%		3102060		2913610		--		--
SH600030	中信证券	-0.80%		28.55		62.27亿		62.26亿		-133005610	1.36亿		-5.42亿		-839198440	1.77%		0.81		3476.41亿	--		--		证券		【期货概念;证金持股;同花顺中特估100;沪股通;融资融券;同花顺漂亮100】	--		0		-1.89%		+0.49%		+0.24		+0.24%		52022118	44660765	--		--
SH600031	三一重工	+0.27%		22.62		21.01亿		21.10亿		-89604010	5201.50万	3871.21万	51342605	1.10%		1.16		1916.91亿	--		--		工程机械	【同花顺出海50;雅下水电概念;农机;新疆振兴;证金持股;无人驾驶;一带一路;工业互联网;机器人概念;高端装备;同花顺漂亮100;人民币贬值受益;沪股通;融资融券】	--		0		+6.85%		+6.10%		+0.62		+0.62%		9160857		20640750	--		--
SH600032	浙江新能	+0.13%		7.73		8800.71万	9853.11万	-4562320	266.69万	-175.91万	2611132		0.53%		1.47		185.88亿	--		--		电力		【绿色电力;国企改革;抽水蓄能;风电;氢能源;沪股通;融资融券】	--		0		+2.93%		+5.03%		+0.00		+0.00%		318064		2374656		--		--
SH600033	福建高速	-3.24%		3.88		3.25亿		3.17亿		-41143384	--		-5222.89万	-101114217	2.93%		1.29		106.48亿	--		--		公路铁路运输	【福建自贸区;海峡两岸;参股银行;参股保险;国企改革;回购增持再贷款概念;融资融券;沪股通】	--		0		-12.02%		-6.73%		-0.50		-0.50%		2736342		3100120		--		--
SH600035	楚天高速	+0.00%		3.94		3700.01万	4454.65万	-4655613	440.60万	-129.84万	4323872		0.70%		1.34		63.44亿		--		--		公路铁路运输	【国企改革;智能医疗;在线教育;ETC;氢能源;人工智能;物联网;车联网(车路协同);国产操作系统;华为概念;WiFi 6;无线耳机;沪股通;融资融券】	--		0		+0.77%		+1.55%		+0.25		+0.25%		424230		152872		--		--
SH600036	招商银行	+0.02%		41.13		48.88亿		47.72亿		-598146190	1280.34万	-12.44亿	-1341796300	0.56%		1.14		8484.68亿	--		--		银行		【同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券;同花顺漂亮100】	--		0		-1.37%		-1.46%		+0.19		+0.19%		24353320	31394529	--		--
SH600037	歌华有线	+0.62%		8.11		3.80亿		3.61亿		+7923247	5518.28万	2075.84万	56016704	3.19%		1.63		112.87亿	--		--		文化传媒	【文化传媒概念;国资云;智慧城市;DeepSeek概念;云游戏;国企改革;证金持股;物联网;华为概念;央企国企改革;数据中心;5G;融资融券;沪股通】	--		0		+10.94%		+10.64%		+0.99		+0.99%		3636138		2644671		--		--
SH600038	中直股份	-3.51%		37.68		10.72亿		8.77亿		-36785014	1.57亿		-4050.75万	-109276446	3.46%		1.07		252.05亿	--		--		军工装备	【央企国企改革;黑龙江自贸区;国企改革;国产航母;军民融合;低空经济;军工;大飞机;无人机;高端装备;飞行汽车(eVTOL);沪股通;融资融券;中字头股票】	--		0		+5.72%		+8.03%		-1.13		-1.13%		7320456		6428208		--		--
SH600039	四川路桥	-0.48%		10.40		2.49亿		2.10亿		-14296921	693.36万	731.47万	6918980		0.23%		0.63		904.34亿	--		--		建筑装饰	【PPP概念;雅下水电概念;同花顺中特估100;国企改革;西部大开发;碳中和;碳交易;一带一路;锂电池概念;沪股通;融资融券;金属铜】	--		0		+4.52%		+1.46%		-0.48		-0.48%		368316		2182128		--		--
SH600048	保利发展	-0.61%		6.47		9.77亿		11.04亿		-75101368	8741.77万	-4072.01万	88008729	1.41%		0.90		774.49亿	--		--		房地产		【租售同权;物业管理;证金持股;国企改革;央企国企改革;智能家居;同花顺漂亮100;沪股通;融资融券】	--		0		+3.35%		+0.78%		+0.00		+0.00%		2501793		6982424		--		--
SH600050	中国联通	-2.19%		5.37		35.45亿		25.43亿		-693900620	--		-5.92亿		-564098600	1.53%		1.14		1652.18亿	--		--		通信服务	【同花顺中特估100;国企改革;央企国企改革;DeepSeek概念;国资云;数据要素;一带一路;区块链;智能家居;人工智能;中字头股票;移动支付;云计算;数据安全;物联网;阿里巴巴概念;卫星导航;商业航天;量子科技;数据中心;6G概念;5G;沪股通;融资融券;同花顺新质50;中国AI 50】	--		0		+4.47%		+2.68%		-0.18		-0.18%		24669864	17131374	--		--
SH600051	宁波联合	+0.52%		7.67		4259.26万	6609.10万	+3102564	130.85万	307.48万	1291007		2.76%		1.51		23.84亿		--		--		综合		【物业管理;共同富裕示范区;跨境电商;旅游概念;绿色电力;航运概念;煤炭概念】	--		0		+0.92%		+5.50%		+0.39		+0.39%		307932		598260		--		--
SH600052	东望时代	+0.42%		4.80		9309.11万	1.38亿		-28119951	194.42万	-1229.90万	1845389		3.41%		2.18		40.52亿		--		--		电力		【体育产业;国企改革;文化传媒概念;储能;锂电池概念】	--		0		+2.35%		+1.69%		-0.21		-0.21%		1002654		1098720		--		--
SH600053	九鼎投资	-3.96%		21.11		4.76亿		2.93亿		-14827081	--		-1753.16万	-48834002	3.14%		0.69		91.52亿		--		--		多元金融	【创投;PPP概念;人形机器人;跨境电商;沪股通;融资融券】	--		0		+1.00%		+8.26%		+1.14		+1.14%		2331927		8422890		--		--
SH600054	黄山旅游	-0.26%		11.46		6884.81万	8618.01万	-2568453	1248.98万	-394.40万	-8056103	1.46%		1.39		58.82亿		--		--		旅游及酒店	【旅游概念;参股券商;国企改革;DeepSeek概念;区块链;沪股通】	--		0		+0.70%		+2.50%		+0.00		+0.00%		512454		267018		--		--
SH600055	万东医疗	+1.26%		17.62		2.52亿		3.52亿		+11345010	3945.49万	2064.37万	39576330	2.82%		2.33		123.88亿	--		--		医疗器械	【医疗器械概念;智能医疗;京津冀一体化;DeepSeek概念;阿里巴巴概念;云计算;绿色电力;一带一路;机器人概念;数据中心;超导概念;沪股通;融资融券】	--		0		+11.03%		+11.52%		+1.72		+1.72%		3855060		2163736		--		--
