代码		    名称		涨幅		现价		昨日成交额		当日成交额		主力净额		资金流向		主力资金流向[20260113]		净流入		换手		量比		流通市值		连续涨停天数		涨停原因类别		所属行业		所属概念		涨停开板次数		几天几板		10日涨幅		20日涨幅		竞价涨幅%		开盘涨幅		早盘竞价金额		尾盘竞价金额		首次涨停时间		最终涨停时间
SH600268	国电南自	--		--		6.54亿		11.86亿		--		4636.73万	-1451.54万	0		--		--		124.94亿	--		--		电网设备	【抽水蓄能;特高压;智能电网;核电;虚拟电厂;超超临界发电;雅下水电概念;风电;充电桩;储能;高端装备;水利;高铁;绿色电力;新疆振兴;商业航天;央企国企改革;机器人概念;雄安新区;国企改革;华为概念;人工智能;DeepSeek概念;数据要素;AI智能体;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600269	赣粤高速	--		--		7251.81万	8138.56万	--		156.46万	183.41万	0		--		--		122.14亿	--		--		公路铁路运输	【国企改革;参股券商;参股保险;核电;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600271	航天信息	--		--		26.35亿		17.02亿		--		--		-1.52亿		0		--		--		227.72亿	--		--		IT服务		【电子身份证;ETC;数字货币;移动支付;互联网金融;财税数字化;智能物流;智慧政务;人脸识别;ERP概念;蚂蚁集团概念;职业教育;区块链;数字经济;智慧城市;数据要素;信创;央企国企改革;AI智能体;食品安全;腾讯概念;网络安全;ChatGPT概念;人工智能;海峡两岸;国企改革;物联网;DeepSeek概念;数据中心;芯片概念;MCU芯片;液冷服务器;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600272	开开实业	--		--		1.25亿		3.08亿		--		310.67万	-75.28万	0		--		--		24.05亿		--		--		医药商业	【医药电商;民营医院;参股银行;国企改革】	--		--		--		--		--		--		--		--		--		--
SH600273	嘉化能源	--		--		2.39亿		2.23亿		--		--		-448.88万	0		--		--		125.78亿	--		--		化学制品	【消毒剂;碳中和;回购增持再贷款概念;长三角一体化;氢能源;燃料电池;光伏概念;储能;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600276	恒瑞医药	--		--		27.35亿		48.19亿		--		9683.13万	-1.15亿		0		--		--		4115.73亿	--		--		化学制药	【减肥药;细胞免疫治疗;创新药;辅助生殖;仿制药一致性评价;眼科医疗;同花顺漂亮100;沪股通;融资融券;证金持股】	--		--		--		--		--		--		--		--		--		--
SH600278	东方创业	--		--		2.01亿		1.20亿		--		2316.88万	-625.21万	0		--		--		69.93亿		--		--		贸易		【统一大市场;上海国企改革;参股券商;国企改革;创投;医疗器械概念;自由贸易港;航运概念;一带一路;人民币贬值受益;上海自贸区;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600279	重庆港		--		--		1.04亿		9705.34万	--		477.39万	-439.99万	0		--		--		64.68亿		--		--		港口航运	【航运概念;统一大市场;西部大开发;国企改革;民爆概念;一带一路;智能物流;股权转让(并购重组);沪股通】	--		--		--		--		--		--		--		--		--		--
SH600280	中央商场	--		--		5.80亿		5.76亿		--		--		-5578.68万	0		--		--		46.83亿		--		--		零售		【物业管理】	--		--		--		--		--		--		--		--		--		--
SH600281	华阳新材	--		--		1.22亿		1.27亿		--		585.22万	459.23万	0		--		--		31.69亿		--		--		小金属		【金属回收;可降解塑料;国企改革;充电桩】	--		--		--		--		--		--		--		--		--		--
SH600282	南钢股份	--		--		7.04亿		7.26亿		--		--		-6305.22万	0		--		--		333.53亿	--		--		钢铁		【特钢概念;煤化工概念;可燃冰;C2M概念;污水处理;国企改革;一带一路;创投;海工装备;核电;数字经济;数据要素;工业互联网;商业航天;人工智能;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600283	钱江水利	--		--		1.56亿		0.00		--		--		0.00		0		--		--		52.62亿		--		--		环境治理	【PPP概念;生物质能发电;新型城镇化;地下管网;污水处理;净水概念;固废处理;水利;创投;绿色电力;数字经济;DeepSeek概念;智慧城市;数据要素;数据确权;数字孪生;人工智能;AI智能体;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600284	浦东建设	--		--		4.13亿		0.00		--		--		0.00		0		--		--		87.03亿		--		--		建筑装饰	【上海自贸区;建筑节能;新型城镇化;创投;水利;车联网(车路协同);国企改革;自由贸易港;证金持股;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600285	羚锐制药	--		--		2.26亿		0.00		--		5450.76万	0.00		0		--		--		120.93亿	--		--		中药		【芬太尼;创新药;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600287	苏豪时尚	--		--		3350.14万	0.00		--		--		0.00		0		--		--		24.85亿		--		--		贸易		【跨境电商;参股银行;参股保险;参股券商;国企改革;数字经济;一带一路;人民币贬值受益;期货概念;摘帽】	--		--		--		--		--		--		--		--		--		--
SH600288	大恒科技	--		--		2.59亿		0.00		--		2094.27万	0.00		0		--		--		70.02亿		--		--		软件开发	【量子科技;机器视觉;华为概念;专精特新;华为手机;智能医疗;机器人概念;无人机;6G概念;人工智能;数据要素;芯片概念;元宇宙;眼科医疗;AIGC概念;太赫兹;腾讯概念;虚拟数字人;京津冀一体化;宁德时代概念;Sora概念(文生视频);期货概念;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600292	电投水电	--		--		4.29亿		0.00		--		--		0.00		0		--		--		107.99亿	--		--		电力		【绿色电力;土壤修复;央企国企改革;碳中和;污水处理;PPP概念;风电;国企改革;动力电池回收;乡村振兴;西部大开发;锂电池概念;期货概念;融资融券;沪股通;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600293	三峡新材	--		--		1.01亿		0.00		--		--		0.00		0		--		--		37.70亿		--		--		建筑材料	【参股银行;国企改革;硅能源;回购增持再贷款概念;光伏概念;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600295	鄂尔多斯	--		--		4.03亿		0.00		--		--		0.00		0		--		--		293.37亿	--		--		钢铁		【煤炭概念;水泥概念;硅能源;西部大开发;小金属概念;创投;光伏概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600298	安琪酵母	--		--		3.13亿		0.00		--		1075.45万	0.00		0		--		--		377.32亿	--		--		食品加工制造	【NMN概念;人造肉;维生素;合成生物;国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600299	安迪苏		--		--		6529.01万	0.00		--		--		0.00		0		--		--		245.13亿	--		--		化学制品	【国企改革;央企国企改革;维生素;人民币贬值受益;DeepSeek概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600300	维维股份	--		--		1.98亿		0.00		--		--		0.00		0		--		--		59.03亿		--		--		饮料制造	【乳业;白酒概念;农业种植;粮食概念;大豆;生态农业;乡村振兴;参股银行;国企改革;创投;数字经济;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600301	华锡有色	--		--		7.61亿		0.00		--		228.48万	0.00		0		--		--		123.02亿	--		--		小金属		【金属铅;金属锌;金属铜;小金属概念;西部大开发;DeepSeek概念;国企改革;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600302	标准股份	--		--		2.05亿		0.00		--		--		0.00		0		--		--		37.23亿		--		--		专用设备	【国企改革;人脸识别;西部大开发;物联网;机器人概念】	--		--		--		--		--		--		--		--		--		--
SH600303	曙光股份	--		--		7872.24万	0.00		--		48.99万		0.00		0		--		--		22.36亿		--		--		汽车整车	【氢能源;燃料电池;长安汽车概念;军工;新能源汽车;摘帽】	--		--		--		--		--		--		--		--		--		--
SH600305	恒顺醋业	--		--		1.11亿		0.00		--		2502.57万	0.00		0		--		--		88.90亿		--		--		食品加工制造	【超级品牌;国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600307	酒钢宏兴	--		--		3.74亿		0.00		--		6138.53万	0.00		0		--		--		117.12亿	--		--		钢铁		【特钢概念;国企改革;西部大开发;氢能源;核电;雅下水电概念;回购增持再贷款概念;可控核聚变;超导概念;金属铜;新能源汽车;商业航天;华为概念;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600308	华泰股份	--		--		8436.31万	0.00		--		1041.57万	0.00		0		--		--		59.92亿		--		--		造纸		【生物质能发电;绿色电力;智能物流;一带一路;数字经济;数字孪生;数据要素;环氧丙烷;DeepSeek概念;工业互联网;光伏概念;元宇宙;新型工业化;AI语料;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600309	万华化学	--		--		29.39亿		0.00		--		--		0.00		0		--		--		2446.15亿	--		--		化学制品	【环氧丙烷;POE胶膜;煤化工概念;丙烯酸;可降解塑料;锂电池概念;同花顺漂亮100;国企改革;碳纤维;证金持股;绿色电力;低空经济;AIGC概念;同花顺出海50;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600310	广西能源	--		--		7085.38万	0.00		--		613.97万	0.00		0		--		--		56.72亿		--		--		电力		【国企改革;绿色电力;参股券商;超超临界发电;西部大开发;抽水蓄能;创投;风电;储能;DeepSeek概念;人工智能;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600312	平高电气	--		--		5.96亿		0.00		--		--		0.00		0		--		--		258.63亿	--		--		电网设备	【柔性直流输电;特高压;核电;智能电网;风电;充电桩;储能;高端装备;央企国企改革;一带一路;工业互联网;机器人概念;国企改革;数字孪生;DeepSeek概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600313	农发种业	--		--		2.60亿		0.00		--		--		0.00		0		--		--		71.86亿		--		--		种植业与林业	【转基因;玉米;粮食概念;大豆;土地流转;农业种植;乡村振兴;国企改革;央企国企改革;一带一路;化肥;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600315	上海家化	--		--		1.78亿		0.00		--		1396.48万	0.00		0		--		--		160.59亿	--		--		美容护理	【三胎概念;合成生物;跨境电商;消毒剂;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600316	洪都航空	--		--		8.63亿		0.00		--		--		0.00		0		--		--		279.46亿	--		--		军工装备	【军民融合;大飞机;军工;低空经济;无人机;央企国企改革;高端装备;乡村振兴;国企改革;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600318	新力金融	--		--		2.53亿		0.00		--		3620.38万	0.00		0		--		--		48.35亿		--		--		多元金融	【化债概念(AMC概念);供销社;乡村振兴;数字经济;融资融券;沪股通;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600319	亚星化学	--		--		1.61亿		0.00		--		--		0.00		0		--		--		32.30亿		--		--		化学原料	【钒电池;国企改革;储能】	--		--		--		--		--		--		--		--		--		--
SH600320	振华重工	--		--		4.79亿		0.00		--		--		0.00		0		--		--		174.74亿	--		--		专用设备	【海工装备;核电;高端装备;风电;央企国企改革;一带一路;国企改革;机器人概念;自由贸易港;海峡两岸;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600322	津投城开	--		--		5015.52万	0.00		--		--		0.00		0		--		--		26.21亿		--		--		房地产		【天津自贸区;物业管理;京津冀一体化;国企改革;股权转让(并购重组);融资融券】	--		--		--		--		--		--		--		--		--		--
SH600323	瀚蓝环境	--		--		1.48亿		0.00		--		1033.47万	0.00		0		--		--		230.42亿	--		--		环境治理	【生物质能发电;天然气;固废处理;污水处理;国企改革;垃圾分类;氢能源;创投;粤港澳大湾区;智慧城市;沪股通;融资融券;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600325	华发股份	--		--		1.20亿		0.00		--		635.07万	0.00		0		--		--		121.92亿	--		--		房地产		【租售同权;物业管理;旅游概念;冰雪产业;广东自贸区;横琴新区;国企改革;证金持股;数字经济;粤港澳大湾区;回购增持再贷款概念;华为概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600326	西藏天路	--		--		5.88亿		0.00		--		1776.08万	0.00		0		--		--		155.87亿	--		--		建筑材料	【水泥概念;水利;雅下水电概念;参股银行;西部大开发;一带一路;国企改革;同花顺中特估100;小金属概念;金属铜;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600327	大东方		--		--		2.19亿		0.00		--		2103.68万	0.00		0		--		--		45.57亿		--		--		零售		【民营医院;预制菜;参股银行;IP经济(谷子经济);信托概念;三胎概念】	--		--		--		--		--		--		--		--		--		--
SH600328	中盐化工	--		--		2.50亿		0.00		--		1036.80万	0.00		0		--		--		125.52亿	--		--		化学原料	【西部大开发;国企改革;小金属概念;央企国企改革;回购增持再贷款概念;锂电池概念;核电;DeepSeek概念;股权转让(并购重组);中字头股票;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600329	达仁堂		--		--		2.49亿		0.00		--		--		0.00		0		--		--		265.79亿	--		--		中药		【医药电商;高股息精选;养老概念;京津冀一体化;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600330	天通股份	--		--		21.75亿		0.00		--		7134.86万	0.00		0		--		--		176.87亿	--		--		电子化学品	【PCB概念;第三代半导体;5G;锂电池概念;商业航天;无线充电;毫米波雷达;数据中心;OLED;先进封装;军工;智能穿戴;量子科技;芯片概念;光伏概念;储能;汽车电子;新能源汽车;高端装备;固废处理;充电桩;创投;长三角一体化;乡村振兴;智能物流;融资融券;AI眼镜;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600331	宏达股份	--		--		10.66亿		0.00		--		--		0.00		0		--		--		254.00亿	--		--		农化制品	【金属锌;小金属概念;金属铜;磷化工;化肥;西部大开发;信托概念;国企改革;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600332	白云山		--		--		3.95亿		0.00		--		--		0.00		0		--		--		356.25亿	--		--		中药		【证金持股;白酒概念;青蒿素;生物疫苗;医药电商;流感;国企改革;仿制药一致性评价;创新药;医疗器械概念;阿里巴巴概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600333	长春燃气	--		--		9235.55万	0.00		--		--		0.00		0		--		--		34.71亿		--		--		燃气		【天然气;国企改革;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600335	国机汽车	--		--		1.52亿		0.00		--		1833.66万	0.00		0		--		--		99.02亿		--		--		汽车服务及其他	【国企改革;央企国企改革;一带一路;回购增持再贷款概念;智能物流;独角兽概念;车联网(车路协同);燃料电池;一体化压铸;长安汽车概念;动力电池回收;华为概念;阿里巴巴概念;机器人概念;新能源汽车;小米汽车;比亚迪概念;特斯拉概念;工业母机;小米概念;宁德时代概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600336	澳柯玛		--		--		1.88亿		0.00		--		566.51万	0.00		0		--		--		66.63亿		--		--		白色家电	【无人零售;冰雪产业;超级品牌;物业管理;冷链物流;净水概念;空气能热泵;跨境电商;国企改革;医疗器械概念;DeepSeek概念;一带一路;创投;家用电器;智能家居;物联网;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600337	美克家居	--		--		9.07亿		0.00		--		5214.86万	0.00		0		--		--		53.74亿		--		--		家居用品	【新疆振兴;跨境电商;C2M概念;智能物流;数字经济;智能家居;人工智能;工业互联网;AIGC概念;华为概念;AI智能体;融资融券;铜缆高速连接】	--		--		--		--		--		--		--		--		--		--
SH600338	西藏珠峰	--		--		15.95亿		0.00		--		--		0.00		0		--		--		162.00亿	--		--		工业金属	【盐湖提锂;金属锌;金属铅;小金属概念;金属铜;锂电池概念;免税店;西部大开发;一带一路;人民币贬值受益;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600339	中油工程	--		--		2.52亿		0.00		--		1127.25万	0.00		0		--		--		195.97亿	--		--		油气开采及服务	【天然气;煤化工概念;新疆振兴;同花顺中特估100;国企改革;中俄贸易概念;碳中和;一带一路;西部大开发;地下管网;氢能源;海工装备;期货概念;可控核聚变;储能;沪股通;中字头股票;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600340	华夏幸福	--		--		4.60亿		0.00		--		--		0.00		0		--		--		87.21亿		--		--		房地产		【特色小镇;新型城镇化;京津冀一体化;PPP概念;雄安新区;智慧城市;人工智能;DeepSeek概念;低空经济;机器人概念;沪股通;融资融券;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600343	航天动力	--		--		50.21亿		0.00		--		5.00亿		0.00		0		--		--		316.55亿	--		--		通用设备	【商业航天;大飞机;军民融合;军工;高端装备;水利;氢能源;央企国企改革;西部大开发;国企改革;煤化工概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600345	长江通信	--		--		14.37亿		0.00		--		--		0.00		0		--		--		88.81亿		--		--		通信设备	【卫星导航;商业航天;光纤概念;安防;车联网(车路协同);数据要素;信创;智慧城市;DeepSeek概念;央企国企改革;华为概念;人工智能;国企改革;股权转让(并购重组);沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600346	恒力石化	--		--		7.89亿		0.00		--		--		0.00		0		--		--		1595.76亿	--		--		石油加工贸易	【煤化工概念;可降解塑料;同花顺漂亮100;锂电池概念;沪股通;PET铜箔;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600348	华阳股份	--		--		6.87亿		0.00		--		--		0.00		0		--		--		310.25亿	--		--		煤炭开采加工	【煤炭概念;超超临界发电;碳纤维;钠离子电池;风电;国企改革;氢能源;TOPCON电池;光伏概念;储能;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600350	山东高速	--		--		9112.51万	0.00		--		1864.77万	0.00		0		--		--		470.40亿	--		--		公路铁路运输	【参股券商;参股银行;PPP概念;国企改革;智慧城市;回购增持再贷款概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600351	亚宝药业	--		--		8895.79万	0.00		--		--		0.00		0		--		--		46.23亿		--		--		中药		【医药电商;流感;维生素;幽门螺杆菌概念;仿制药一致性评价;创新药;农业种植;三胎概念;重组蛋白;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600352	浙江龙盛	--		--		2.83亿		0.00		--		--		0.00		0		--		--		366.98亿	--		--		化学制品	【染料;创投;人工智能;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600353	旭光电子	--		--		12.00亿		0.00		--		--		0.00		0		--		--		152.83亿	--		--		其他电子	【可控核聚变;航空发动机;光刻机;核电;第三代半导体;军工;特高压;军民融合;柔性直流输电;先进封装;芯片概念;无人机;智能电网;5G;风电;虚拟电厂;华为概念;信创;无人驾驶;DeepSeek概念;智慧城市;西部大开发;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600354	敦煌种业	--		--		2.05亿		0.00		--		--		0.00		0		--		--		35.52亿		--		--		种植业与林业	【玉米;粮食概念;转基因;农业种植;生态农业;供销社;乡村振兴;国企改革;西部大开发;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600356	恒丰纸业	--		--		5080.83万	0.00		--		--		0.00		0		--		--		26.56亿		--		--		造纸		【黑龙江自贸区;烟草;国企改革】	--		--		--		--		--		--		--		--		--		--
SH600359	新农开发	--		--		7454.87万	0.00		--		380.10万	0.00		0		--		--		28.69亿		--		--		种植业与林业	【粮食概念;农业种植;土地流转;乡村振兴;特色小镇;农村电商;乳业;新疆振兴;国企改革;西部大开发;股权转让(并购重组);融资融券】	--		--		--		--		--		--		--		--		--		--
SH600361	创新新材	--		--		2.83亿		0.00		--		1694.10万	0.00		0		--		--		169.77亿	--		--		工业金属	【金属回收;金属铜;一带一路;回购增持再贷款概念;特高压;超导概念;宁德时代概念;比亚迪概念;新能源汽车;华为概念;消费电子概念;小米概念;无线耳机;苹果概念;小米汽车;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600362	江西铜业	--		--		37.78亿		0.00		--		--		0.00		0		--		--		1162.55亿	--		--		工业金属	【金属铜;黄金概念;小金属概念;金属回收;锂电池概念;一带一路;沪股通;融资融券;国企改革;证金持股;参股券商】	--		--		--		--		--		--		--		--		--		--
SH600363	联创光电	--		--		33.84亿		0.00		--		1.45亿		0.00		0		--		--		346.33亿	--		--		消费电子	【可控核聚变;超导概念;商业航天;核电;同花顺新质50;军工;无人机;低空经济;OLED;虚拟现实;华为概念;柔性屏(折叠屏);光伏概念;新能源汽车;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600366	宁波韵升	--		--		10.27亿		0.00		--		--		0.00		0		--		--		163.10亿	--		--		金属新材料	【稀土永磁;超导概念;小金属概念;消费电子概念;苹果概念;比亚迪概念;特斯拉概念;新能源汽车;低空经济;机器人概念;无线耳机;人形机器人;创投;共同富裕示范区;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600367	红星发展	--		--		5.65亿		0.00		--		--		0.00		0		--		--		58.57亿		--		--		化学原料	【小金属概念;钠离子电池;固态电池;锂电池概念;西部大开发;国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600368	五洲交通	--		--		5558.69万	0.00		--		1857.34万	0.00		0		--		--		64.06亿		--		--		公路铁路运输	【统一大市场;物业管理;国企改革;冷链物流;乡村振兴;西部大开发;数字乡村;人工智能;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600369	西南证券	--		--		3.15亿		0.00		--		4855.92万	0.00		0		--		--		308.33亿	--		--		证券		【期货概念;国企改革;西部大开发;融资融券;股权转让(并购重组);沪股通】	--		--		--		--		--		--		--		--		--		--
SH600370	三房巷		--		--		2.71亿		0.00		--		2470.20万	0.00		0		--		--		101.70亿	--		--		化学纤维	【沪股通】	--		--		--		--		--		--		--		--		--		--
SH600371	万向德农	--		--		5240.73万	0.00		--		--		0.00		0		--		--		26.36亿		--		--		种植业与林业	【玉米;粮食概念;转基因;农业种植;黑龙江自贸区;乡村振兴;化肥;回购增持再贷款概念】	--		--		--		--		--		--		--		--		--		--
SH600372	中航机载	--		--		45.31亿		0.00		--		1.54亿		0.00		0		--		--		799.39亿	--		--		军工装备	【国产航母;军民融合;军工信息化;大飞机;央企国企改革;军工;商业航天;低空经济;无人机;国企改革;飞行汽车(eVTOL);传感器;沪股通;融资融券;中字头股票】	--		--		--		--		--		--		--		--		--		--
SH600373	中文传媒	--		--		7.29亿		0.00		--		1.43亿		0.00		0		--		--		138.78亿	--		--		文化传媒	【文化传媒概念;国企改革;在线教育;IP经济(谷子经济);手机游戏;数字经济;网络游戏;AIGC概念;虚拟现实;沪股通;融资融券;AI应用】	--		--		--		--		--		--		--		--		--		--
SH600375	汉马科技	--		--		3.17亿		0.00		--		--		0.00		0		--		--		81.08亿		--		--		汽车整车	【换电概念;互联网金融;垃圾分类;燃料电池;氢能源;新能源汽车;沪股通;摘帽】	--		--		--		--		--		--		--		--		--		--
SH600376	首开股份	--		--		13.46亿		0.00		--		--		0.00		0		--		--		162.00亿	--		--		房地产		【体育产业;京津冀一体化;雄安新区;养老概念;租售同权;物业管理;冰雪产业;融资融券;国企改革;证金持股;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600377	宁沪高速	--		--		1.82亿		0.00		--		5694.54万	0.00		0		--		--		451.32亿	--		--		公路铁路运输	【国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600378	昊华科技	--		--		5.01亿		0.00		--		--		0.00		0		--		--		380.76亿	--		--		化学制品	【氟化工概念;钠离子电池;固态电池;磷化工;PVDF概念;锂电池概念;燃料电池;氢能源;中芯国际概念;军工;碳交易;俄乌冲突概念;新能源汽车;碳中和;大飞机;西部大开发;液冷服务器;页岩气;央企国企改革;芯片概念;国企改革;国产航母;股权转让(并购重组);沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600379	宝光股份	--		--		1.00亿		0.00		--		1979.12万	0.00		0		--		--		41.14亿		--		--		电网设备	【特高压;智能电网;虚拟电厂;光热发电;高铁;氢能源;储能;军工;燃料电池;西部大开发;央企国企改革;国企改革;芯片概念;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600380	健康元		--		--		2.97亿		0.00		--		205.68万	0.00		0		--		--		221.18亿	--		--		化学制药	【流感;创新药;猴痘概念;辅助生殖;减肥药;宠物经济;合成生物;智能医疗;粤港澳大湾区;DeepSeek概念;人工智能;腾讯概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600382	广东明珠	--		--		1.63亿		0.00		--		2167.31万	0.00		0		--		--		53.61亿		--		--		钢铁		【2025三季报预增;PPP概念;参股银行;白酒概念;无人机;新能源汽车;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600383	金地集团	--		--		2.96亿		0.00		--		--		0.00		0		--		--		144.02亿	--		--		房地产		【物业管理;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600386	北巴传媒	--		--		6634.15万	0.00		--		1465.48万	0.00		0		--		--		37.01亿		--		--		汽车服务及其他	【物业管理;国企改革;京津冀一体化;文化传媒概念;汽车拆解概念;独角兽概念;充电桩;新能源汽车;动力电池回收;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600388	龙净环保	--		--		2.97亿		0.00		--		--		0.00		0		--		--		201.30亿	--		--		环保设备	【绿色电力;风电;土壤修复;污水处理;固废处理;氢能源;国企改革;PPP概念;钠离子电池;回购增持再贷款概念;储能;海峡两岸;专精特新;机器人概念;华为概念;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600389	江山股份	--		--		5.36亿		0.00		--		--		0.00		0		--		--		99.95亿		--		--		农化制品	【草甘膦;磷化工;乡村振兴;融资融券;沪股通】	--		--		--		--		--		--		--		--		--		--
SH600390	五矿资本	--		--		7.38亿		0.00		--		--		0.00		0		--		--		271.68亿	--		--		多元金融	【期货概念;信托概念;参股券商;参股保险;国企改革;乡村振兴;创投;央企国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600391	航发科技	--		--		17.54亿		0.00		--		--		0.00		0		--		--		150.01亿	--		--		军工装备	【国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600392	盛和资源	--		--		28.02亿		0.00		--		1.84亿		0.00		0		--		--		424.89亿	--		--		小金属		【稀土永磁;小金属概念;2025三季报预增;苹果概念;西部大开发;国企改革;参股保险;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600395	盘江股份	--		--		1.05亿		0.00		--		--		0.00		0		--		--		104.54亿	--		--		煤炭开采加工	【煤炭概念;白酒概念;参股券商;国企改革;绿色电力;超超临界发电;西部大开发;回购增持再贷款概念;风电;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600396	华电辽能	--		--		5280.09万	0.00		--		1405.42万	0.00		0		--		--		43.89亿		--		--		电力		【碳交易;国企改革;绿色电力;超超临界发电;碳中和;央企国企改革;氢能源;风电;海工装备】	--		--		--		--		--		--		--		--		--		--
SH600397	江钨装备	--		--		8.21亿		0.00		--		144.01万	0.00		0		--		--		93.16亿		--		--		专用设备	【煤炭概念;国企改革;沪股通;股权转让(并购重组)】	--		--		--		--		--		--		--		--		--		--
SH600398	海澜之家	--		--		4.86亿		0.00		--		1.30亿		0.00		0		--		--		303.54亿	--		--		服装家纺	【三胎概念;体育产业;阿里巴巴概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600399	抚顺特钢	--		--		17.00亿		0.00		--		--		0.00		0		--		--		139.23亿	--		--		钢铁		【特钢概念;商业航天;大飞机;核电;航空发动机;军工;回购增持再贷款概念;沪股通;融资融券】	--		--		--		--		--		--		--		--		09:39:12	09:51:04
SH600400	红豆股份	--		--		1.46亿		0.00		--		2107.22万	0.00		0		--		--		57.28亿		--		--		服装家纺	【养老概念;参股银行;互联网金融;独角兽概念;工业互联网;机器人概念;军工;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
SH600403	大有能源	--		--		7.64亿		0.00		--		--		0.00		0		--		--		195.57亿	--		--		煤炭开采加工	【煤炭概念;国企改革;沪股通;融资融券】	--		--		--		--		--		--		--		--		--		--
