股票名称,监管规则,当前累计偏离值,异动触发条件,风险等级,数据日期
锋龙股份,10日偏离值100%,110.36%,已触发, 已触发,1月7日
航天发展,30日偏离值200%,191.03%,次日 +3.00%, 极高危,1月8日(预测)
西部材料,30日偏离值200%,182.75%,次日 +5.93%, 高危,1月8日(预测)
雷科防务,10日偏离值100%,88.70%,次日 +5.80%, 高危,1月8日(预测)
志特新材,10日偏离值100%,85.72%,次日 +7.56%, 中高,1月8日(预测)
美好医疗,10日偏离值100%,84.58%,次日 +8.13%, 中高,1月8日(预测)
再升科技,30日偏离值200%,173.95%,次日 +9.31%, 中高,1月8日(预测)
中国卫通,10日偏离值100%,82.36%,次日 +9.46%, 中,1月8日(预测)
航天环宇,10日偏离值100%,80.79%,次日 +10.19%, 低,1月8日(预测)
广联航空,10日偏离值100%,72.76%,次日 +15.31%, 安全,1月8日(预测)
信维通信,10日偏离值100%,71.52%,次日 +16.12%, 安全,1月8日(预测)
谱尼测试,10日偏离值100%,66.11%,次日 +19.76%, 安全,1月8日(预测)
飞沃科技,10日偏离值100%,66.91%,--, 安全,1月7日
昊志机电,10日偏离值100%,65.25%,--, 安全,1月7日
