股票名称,监管规则,当前累计偏离值,异动触发条件,风险等级,数据日期
航天发展,30日偏离值200%,198.20%,次日 +0.58%,极高危,1月9日
西部材料,30日偏离值200%,196.17%,次日 +1.25%,极高危,1月9日
顺灏股份,30日偏离值200%,196.03%,次日 +1.30%,极高危,1月9日
雷科防务,10日偏离值100%,89.49%,次日 +5.41%,高危,1月9日
蓝色光标,10日偏离值100%,88.82%,次日 +5.76%,高危,1月9日
邵阳液压,10日偏离值100%,86.84%,次日 +6.86%,高危,1月9日
中国卫通,10日偏离值100%,86.22%,次日 +7.25%,高危,1月9日
再升科技,30日偏离值200%,177.49%,次日 +7.92%,中高,1月9日
臻镭科技,30日偏离值200%,170.77%,次日 +10.32%,中高,1月9日
航天环宇,10日偏离值100%,78.60%,次日 +11.38%,中高,1月9日
西测测试,30日偏离值200%,150.76%,次日 +18.93%,安全,1月9日
必贝特,10日偏离值100%,66.50%,次日 +19.13%,安全,1月9日
